date,open,high,low,close,volume,code,name
2024-11-29,171.100,168.700,177.000,165.200,40356999.000,hk03690,美团
2024-12-02,160.000,167.400,169.200,159.900,66398327.000,hk03690,美团
2024-12-03,167.200,165.500,167.300,160.700,41771143.000,hk03690,美团
2024-12-04,166.300,165.200,170.600,164.800,32453687.000,hk03690,美团
2024-12-05,162.800,159.200,163.300,157.000,46562493.000,hk03690,美团
2024-12-06,160.800,162.400,163.700,156.900,63874792.000,hk03690,美团
2024-12-09,159.000,171.700,172.500,158.900,58871653.000,hk03690,美团
2024-12-10,182.000,171.800,182.900,171.000,70828812.000,hk03690,美团
2024-12-11,172.100,167.000,175.200,165.400,29501888.000,hk03690,美团
2024-12-12,169.000,168.900,173.000,163.200,39912261.000,hk03690,美团
2024-12-13,165.000,162.600,165.800,161.600,37180662.000,hk03690,美团
2024-12-16,161.600,159.600,162.700,158.200,27168729.000,hk03690,美团
2024-12-17,156.900,158.600,164.800,155.600,33855934.000,hk03690,美团
2024-12-18,164.800,160.100,164.800,159.200,18611465.000,hk03690,美团
2024-12-19,157.300,158.400,159.200,156.400,20597561.000,hk03690,美团
2024-12-20,158.000,158.600,161.200,157.300,34086217.000,hk03690,美团
2024-12-23,161.200,155.600,161.500,153.600,31530269.000,hk03690,美团
2024-12-24,156.800,155.100,157.300,153.100,20197571.000,hk03690,美团
2024-12-27,153.100,154.700,157.000,151.600,23550112.000,hk03690,美团
2024-12-30,155.900,152.800,156.600,151.400,25450241.000,hk03690,美团
2024-12-31,152.700,151.700,154.800,151.700,11665658.000,hk03690,美团
2025-01-02,151.700,150.600,154.300,148.400,28715165.000,hk03690,美团
2025-01-03,151.300,153.700,155.700,148.800,30511065.000,hk03690,美团
2025-01-06,153.800,150.700,153.800,148.400,27783624.000,hk03690,美团
2025-01-07,150.700,148.700,152.800,145.800,30932550.000,hk03690,美团
2025-01-08,148.900,146.700,149.100,143.900,25790556.000,hk03690,美团
2025-01-09,145.900,144.400,146.800,142.500,26551311.000,hk03690,美团
