date,open,high,low,close,volume,code,name
2024-11-29,19.120,19.300,19.540,19.120,3830000.000,hk03692,翰森制药
2024-12-02,19.300,18.920,19.480,18.820,10416372.000,hk03692,翰森制药
2024-12-03,18.820,19.220,19.320,18.740,6769910.000,hk03692,翰森制药
2024-12-04,19.140,19.020,19.440,18.900,6577878.000,hk03692,翰森制药
2024-12-05,18.820,18.860,19.000,18.720,3230908.000,hk03692,翰森制药
2024-12-06,18.700,18.540,18.780,18.280,4451658.000,hk03692,翰森制药
2024-12-09,18.380,19.100,19.120,18.380,4949445.000,hk03692,翰森制药
2024-12-10,19.580,18.480,19.680,18.400,9057070.000,hk03692,翰森制药
2024-12-11,18.520,18.600,18.880,18.380,3528561.000,hk03692,翰森制药
2024-12-12,18.640,18.480,18.720,18.420,2725781.000,hk03692,翰森制药
2024-12-13,18.360,18.080,18.420,17.980,3443244.000,hk03692,翰森制药
2024-12-16,18.000,17.780,18.300,17.660,6437730.000,hk03692,翰森制药
2024-12-17,17.640,17.780,18.060,17.560,10026000.000,hk03692,翰森制药
2024-12-18,17.780,18.480,18.500,17.700,5158620.000,hk03692,翰森制药
2024-12-19,18.900,18.340,19.340,18.020,12713947.000,hk03692,翰森制药
2024-12-20,18.700,17.940,18.700,17.840,3878527.000,hk03692,翰森制药
2024-12-23,17.900,17.820,18.300,17.620,2732583.000,hk03692,翰森制药
2024-12-24,18.020,18.200,18.300,17.740,1456000.000,hk03692,翰森制药
2024-12-27,18.480,17.800,18.480,17.680,4113583.000,hk03692,翰森制药
2024-12-30,17.860,17.400,18.100,17.320,4913600.000,hk03692,翰森制药
2024-12-31,17.280,17.280,17.380,17.100,3278020.000,hk03692,翰森制药
2025-01-02,17.280,16.680,17.440,16.560,6508613.000,hk03692,翰森制药
2025-01-03,16.900,16.660,17.360,16.580,4332300.000,hk03692,翰森制药
2025-01-06,16.800,16.580,16.820,16.440,5278100.000,hk03692,翰森制药
2025-01-07,16.520,16.320,16.840,16.220,6381400.000,hk03692,翰森制药
2025-01-08,16.320,16.220,16.380,16.120,6778561.000,hk03692,翰森制药
2025-01-09,16.380,16.480,16.760,16.320,4615255.000,hk03692,翰森制药
2025-01-10,16.980,16.240,16.980,16.160,5555581.000,hk03692,翰森制药
2025-01-13,16.200,16.260,16.340,15.960,5148680.000,hk03692,翰森制药
2025-01-14,16.360,16.640,16.900,16.320,4347739.000,hk03692,翰森制药
2025-01-15,16.560,16.700,16.960,16.500,2405072.000,hk03692,翰森制药
2025-01-16,16.820,16.720,17.080,16.640,3140950.000,hk03692,翰森制药
2025-01-17,17.000,16.840,17.020,16.700,2933776.000,hk03692,翰森制药
2025-01-20,16.700,16.980,17.280,16.700,4877793.000,hk03692,翰森制药
2025-01-21,17.240,17.220,17.340,16.960,3944000.000,hk03692,翰森制药
2025-01-22,17.180,17.400,17.400,17.060,3906285.000,hk03692,翰森制药
2025-01-23,17.280,17.280,17.660,17.140,4524103.000,hk03692,翰森制药
2025-01-24,17.800,17.420,17.800,17.260,5482172.000,hk03692,翰森制药
2025-01-27,17.340,17.760,17.960,17.340,4195709.000,hk03692,翰森制药
2025-01-28,17.380,17.880,18.080,17.220,2433748.000,hk03692,翰森制药
2025-02-03,18.200,17.800,18.200,17.220,2814000.000,hk03692,翰森制药
2025-02-04,18.080,18.500,18.580,18.080,3462541.000,hk03692,翰森制药
2025-02-05,18.500,17.940,18.940,17.920,6078939.000,hk03692,翰森制药
2025-02-06,18.000,17.960,18.100,17.800,5942313.000,hk03692,翰森制药
2025-02-07,18.000,18.060,18.160,17.780,6162303.000,hk03692,翰森制药
2025-02-10,18.320,18.720,18.800,18.240,3719218.000,hk03692,翰森制药
2025-02-11,18.480,18.120,18.480,17.960,3859722.000,hk03692,翰森制药
2025-02-12,18.280,17.300,18.280,17.100,8074044.000,hk03692,翰森制药
2025-02-13,17.300,17.220,17.480,17.100,5929132.000,hk03692,翰森制药
2025-02-14,17.240,17.520,17.800,17.140,8897193.000,hk03692,翰森制药
2025-02-17,17.520,17.800,18.120,17.280,10233863.000,hk03692,翰森制药
2025-02-18,17.760,18.000,18.180,17.300,8756918.000,hk03692,翰森制药
2025-02-19,18.000,18.440,18.440,17.740,4344020.000,hk03692,翰森制药
2025-02-20,18.480,18.320,18.760,18.160,4493385.000,hk03692,翰森制药
2025-02-21,18.560,19.800,19.800,18.400,11726376.000,hk03692,翰森制药
2025-02-24,19.560,19.000,19.760,18.940,9069350.000,hk03692,翰森制药
2025-02-25,18.700,18.960,19.120,18.640,4670031.000,hk03692,翰森制药
2025-02-26,19.000,19.320,19.520,18.800,9169460.000,hk03692,翰森制药
2025-02-27,19.200,19.220,19.440,18.800,8972255.000,hk03692,翰森制药
2025-02-28,19.180,18.020,19.180,17.980,15659639.000,hk03692,翰森制药
2025-03-03,17.420,17.860,18.140,17.420,7033765.000,hk03692,翰森制药
2025-03-04,17.980,18.300,18.480,17.660,8608630.000,hk03692,翰森制药
2025-03-05,18.500,19.020,19.140,18.180,9497796.000,hk03692,翰森制药
2025-03-06,19.420,19.420,19.560,19.180,6742738.000,hk03692,翰森制药
2025-03-07,19.420,19.240,19.660,19.060,9159751.000,hk03692,翰森制药
2025-03-10,19.100,18.320,19.220,18.140,8341016.000,hk03692,翰森制药
2025-03-11,18.280,18.800,18.800,18.060,10443075.000,hk03692,翰森制药
2025-03-12,18.800,18.800,19.180,18.600,6443041.000,hk03692,翰森制药
2025-03-13,19.000,18.700,19.360,18.400,5600047.000,hk03692,翰森制药
2025-03-14,18.680,18.960,19.080,18.620,6700000.000,hk03692,翰森制药
2025-03-17,18.780,19.100,19.320,18.780,8402040.000,hk03692,翰森制药
2025-03-18,19.200,19.800,19.880,19.200,8316250.000,hk03692,翰森制药
2025-03-19,19.500,21.050,21.300,19.500,12698193.000,hk03692,翰森制药
2025-03-20,21.200,21.300,21.900,20.950,11349868.000,hk03692,翰森制药
2025-03-21,21.300,20.100,21.300,19.700,10185076.000,hk03692,翰森制药
2025-03-24,20.000,20.300,21.100,19.820,10299094.000,hk03692,翰森制药
2025-03-25,20.400,21.050,21.150,20.200,9930000.000,hk03692,翰森制药
2025-03-26,21.050,21.000,21.350,20.700,8514112.000,hk03692,翰森制药
