date,open,high,low,close,volume,code,name
2024-11-29,9.160,9.110,9.240,8.990,39092744.000,hk00992,联想集团
2024-12-02,9.220,9.110,9.220,9.060,31712311.000,hk00992,联想集团
2024-12-03,9.150,9.480,9.600,9.110,92994527.000,hk00992,联想集团
2024-12-04,9.480,9.340,9.480,9.260,51271991.000,hk00992,联想集团
2024-12-05,9.240,9.180,9.380,9.160,42542661.000,hk00992,联想集团
2024-12-06,9.180,9.260,9.320,9.140,96771924.000,hk00992,联想集团
2024-12-09,9.210,9.440,9.470,9.100,71442752.000,hk00992,联想集团
2024-12-10,9.810,9.520,9.880,9.460,77447324.000,hk00992,联想集团
2024-12-11,9.520,9.350,9.760,9.300,48018931.000,hk00992,联想集团
2024-12-12,9.370,9.490,9.600,9.350,43814235.000,hk00992,联想集团
2024-12-13,9.450,9.140,9.500,9.120,50833988.000,hk00992,联想集团
2024-12-16,9.230,9.200,9.400,9.180,34413486.000,hk00992,联想集团
2024-12-17,9.180,9.140,9.330,9.130,36770201.000,hk00992,联想集团
2024-12-18,9.160,9.420,9.480,9.160,42416629.000,hk00992,联想集团
2024-12-19,9.240,9.360,9.460,9.240,38432587.000,hk00992,联想集团
2024-12-20,9.300,9.470,9.520,9.300,47303345.000,hk00992,联想集团
2024-12-23,9.420,9.490,9.520,9.370,31244563.000,hk00992,联想集团
2024-12-24,9.470,9.670,9.750,9.450,27595115.000,hk00992,联想集团
2024-12-27,9.750,10.560,10.600,9.730,198535742.000,hk00992,联想集团
2024-12-30,10.460,10.200,10.500,10.140,72633520.000,hk00992,联想集团
2024-12-31,10.180,10.080,10.320,10.080,25313648.000,hk00992,联想集团
2025-01-02,10.000,9.790,10.060,9.750,52029307.000,hk00992,联想集团
2025-01-03,9.880,9.830,10.080,9.760,50796099.000,hk00992,联想集团
2025-01-06,9.980,9.860,10.240,9.840,47887290.000,hk00992,联想集团
2025-01-07,9.770,9.720,9.940,9.570,61279088.000,hk00992,联想集团
2025-01-08,9.660,9.530,9.770,9.460,48490861.000,hk00992,联想集团
2025-01-09,9.560,9.820,9.960,9.470,44289333.000,hk00992,联想集团
2025-01-10,9.760,9.340,9.880,9.320,48529477.000,hk00992,联想集团
2025-01-13,9.250,9.270,9.330,9.140,20450784.000,hk00992,联想集团
2025-01-14,9.230,9.280,9.360,9.130,38061456.000,hk00992,联想集团
2025-01-15,9.190,9.180,9.260,9.080,29808963.000,hk00992,联想集团
2025-01-16,9.390,9.290,9.390,9.180,37379708.000,hk00992,联想集团
2025-01-17,9.200,9.230,9.320,9.050,35839829.000,hk00992,联想集团
2025-01-20,9.360,9.400,9.470,9.260,36611403.000,hk00992,联想集团
2025-01-21,9.520,9.410,9.570,9.310,30533177.000,hk00992,联想集团
2025-01-22,9.280,9.150,9.360,9.010,63194148.000,hk00992,联想集团
2025-01-23,9.290,9.200,9.470,9.160,45024345.000,hk00992,联想集团
2025-01-24,9.220,9.470,9.470,9.150,34485919.000,hk00992,联想集团
2025-01-27,9.350,9.490,9.620,9.350,37716053.000,hk00992,联想集团
2025-01-28,9.550,9.290,9.560,9.140,21931775.000,hk00992,联想集团
2025-02-03,9.130,9.840,9.890,9.130,92256487.000,hk00992,联想集团
2025-02-04,10.040,10.520,10.660,9.950,154434813.000,hk00992,联想集团
2025-02-05,10.420,10.940,11.160,10.360,216572909.000,hk00992,联想集团
2025-02-06,10.940,11.500,11.660,10.920,222099575.000,hk00992,联想集团
2025-02-07,11.300,12.220,12.560,11.180,274662411.000,hk00992,联想集团
2025-02-10,12.340,12.180,12.520,12.020,146139911.000,hk00992,联想集团
2025-02-11,11.960,12.160,12.340,11.780,139844391.000,hk00992,联想集团
2025-02-12,12.200,12.800,12.880,12.200,144458026.000,hk00992,联想集团
2025-02-13,12.700,12.160,12.740,12.040,156866443.000,hk00992,联想集团
2025-02-14,12.200,12.620,12.660,12.200,117926748.000,hk00992,联想集团
2025-02-17,12.480,12.620,12.880,12.400,105100227.000,hk00992,联想集团
2025-02-18,12.420,12.560,12.660,12.240,109593603.000,hk00992,联想集团
2025-02-19,12.340,12.580,12.580,12.080,108941434.000,hk00992,联想集团
2025-02-20,12.580,11.780,13.180,11.680,301497112.000,hk00992,联想集团
2025-02-21,12.220,13.600,13.600,11.820,358558990.000,hk00992,联想集团
2025-02-24,13.140,12.980,13.400,12.840,179001142.000,hk00992,联想集团
2025-02-25,12.420,12.800,13.160,12.420,153541385.000,hk00992,联想集团
2025-02-26,12.980,12.660,13.180,12.480,146844802.000,hk00992,联想集团
2025-02-27,12.480,12.320,12.740,11.960,165642009.000,hk00992,联想集团
2025-02-28,12.100,11.580,12.140,11.440,155614839.000,hk00992,联想集团
2025-03-03,11.780,11.420,11.860,11.280,87578481.000,hk00992,联想集团
2025-03-04,11.340,11.400,11.500,11.060,67576291.000,hk00992,联想集团
2025-03-05,11.580,11.940,11.980,11.540,96841091.000,hk00992,联想集团
2025-03-06,12.340,12.500,12.640,12.200,138806517.000,hk00992,联想集团
2025-03-07,12.280,12.620,13.020,12.220,126650091.000,hk00992,联想集团
2025-03-10,12.400,12.420,12.580,12.240,79061486.000,hk00992,联想集团
2025-03-11,12.240,12.520,12.620,12.120,75314376.000,hk00992,联想集团
2025-03-12,12.400,11.640,12.500,11.480,183655382.000,hk00992,联想集团
2025-03-13,11.720,11.440,11.860,11.300,100308671.000,hk00992,联想集团
2025-03-14,11.540,11.600,11.740,11.260,78556860.000,hk00992,联想集团
2025-03-17,11.640,11.700,11.900,11.440,58627664.000,hk00992,联想集团
2025-03-18,11.920,11.860,11.960,11.780,71127030.000,hk00992,联想集团
2025-03-19,11.880,11.940,12.260,11.640,102439588.000,hk00992,联想集团
2025-03-20,11.940,11.680,12.000,11.640,44355834.000,hk00992,联想集团
2025-03-21,11.580,11.300,11.700,11.200,83498788.000,hk00992,联想集团
2025-03-24,11.340,11.480,11.540,11.220,51710649.000,hk00992,联想集团
2025-03-25,11.380,11.260,11.680,11.220,45649522.000,hk00992,联想集团
2025-03-26,11.340,11.480,11.580,11.320,47306469.000,hk00992,联想集团
2025-03-27,11.520,11.360,11.700,11.260,58026061.000,hk00992,联想集团
2025-03-28,11.300,10.860,11.400,10.720,103270678.000,hk00992,联想集团
2025-03-31,10.700,10.480,10.840,10.340,95681395.000,hk00992,联想集团
2025-04-01,10.600,10.620,10.760,10.500,77098382.000,hk00992,联想集团
2025-04-02,10.660,10.660,10.940,10.560,56798700.000,hk00992,联想集团
