date,open,high,low,close,volume,code,name
2024-11-29,16.640,16.980,17.400,16.640,12787839.000,hk02319,蒙牛乳业
2024-12-02,17.180,17.320,17.660,16.900,12278309.000,hk02319,蒙牛乳业
2024-12-03,17.240,17.340,17.440,17.020,9769533.000,hk02319,蒙牛乳业
2024-12-04,17.380,17.140,17.460,17.060,7213979.000,hk02319,蒙牛乳业
2024-12-05,16.900,16.740,17.060,16.640,13821346.000,hk02319,蒙牛乳业
2024-12-06,16.760,16.840,17.000,16.640,16558435.000,hk02319,蒙牛乳业
2024-12-09,16.840,17.280,17.280,16.180,43540896.000,hk02319,蒙牛乳业
2024-12-10,18.000,17.280,18.560,17.200,44991272.000,hk02319,蒙牛乳业
2024-12-11,17.380,17.480,18.100,17.380,24018824.000,hk02319,蒙牛乳业
2024-12-12,17.620,18.740,19.180,17.340,59474152.000,hk02319,蒙牛乳业
2024-12-13,18.400,18.040,18.500,17.760,34668810.000,hk02319,蒙牛乳业
2024-12-16,17.940,17.400,18.080,17.320,26680447.000,hk02319,蒙牛乳业
2024-12-17,17.200,17.380,17.840,17.020,23224526.000,hk02319,蒙牛乳业
2024-12-18,17.540,17.540,17.860,17.460,15289317.000,hk02319,蒙牛乳业
2024-12-19,17.280,17.640,17.920,17.160,18411276.000,hk02319,蒙牛乳业
2024-12-20,17.640,17.660,18.140,17.500,18154287.000,hk02319,蒙牛乳业
2024-12-23,17.680,17.880,18.100,17.680,11183299.000,hk02319,蒙牛乳业
2024-12-24,17.940,17.920,18.060,17.620,8049493.000,hk02319,蒙牛乳业
2024-12-27,17.740,17.380,17.920,17.040,17507350.000,hk02319,蒙牛乳业
2024-12-30,17.320,17.040,17.520,17.020,16568857.000,hk02319,蒙牛乳业
2024-12-31,17.080,17.560,17.960,17.060,16496358.000,hk02319,蒙牛乳业
2025-01-02,17.240,16.720,17.360,16.640,23106366.000,hk02319,蒙牛乳业
2025-01-03,16.800,16.420,17.000,16.320,14002790.000,hk02319,蒙牛乳业
2025-01-06,16.560,16.260,16.720,16.140,17156546.000,hk02319,蒙牛乳业
2025-01-07,16.260,16.400,16.600,15.920,18944713.000,hk02319,蒙牛乳业
2025-01-08,16.280,16.100,16.400,15.880,17740659.000,hk02319,蒙牛乳业
2025-01-09,16.020,16.040,16.320,15.980,13836091.000,hk02319,蒙牛乳业
2025-01-10,16.200,15.300,16.220,15.240,28110554.000,hk02319,蒙牛乳业
2025-01-13,15.300,15.160,15.300,14.820,25069665.000,hk02319,蒙牛乳业
2025-01-14,14.900,15.200,15.500,14.820,25600967.000,hk02319,蒙牛乳业
2025-01-15,15.200,14.880,15.200,14.760,43830257.000,hk02319,蒙牛乳业
2025-01-16,15.020,14.980,15.320,14.820,29034892.000,hk02319,蒙牛乳业
2025-01-17,14.880,15.240,15.520,14.880,23433155.000,hk02319,蒙牛乳业
2025-01-20,15.500,15.200,15.800,15.160,23672551.000,hk02319,蒙牛乳业
2025-01-21,15.400,15.660,15.760,15.160,19296857.000,hk02319,蒙牛乳业
2025-01-22,15.520,15.300,15.740,15.200,12758926.000,hk02319,蒙牛乳业
2025-01-23,15.300,15.380,15.700,15.260,15616528.000,hk02319,蒙牛乳业
2025-01-24,15.300,15.500,15.760,15.200,13793910.000,hk02319,蒙牛乳业
2025-01-27,15.500,15.560,15.740,15.480,8120878.000,hk02319,蒙牛乳业
2025-01-28,15.680,15.480,15.700,15.380,3555571.000,hk02319,蒙牛乳业
2025-02-03,15.080,15.240,15.560,14.740,16810738.000,hk02319,蒙牛乳业
2025-02-04,15.480,15.700,15.900,15.000,19910629.000,hk02319,蒙牛乳业
2025-02-05,15.500,14.980,15.660,14.840,24058440.000,hk02319,蒙牛乳业
2025-02-06,14.940,15.280,15.280,14.940,26895677.000,hk02319,蒙牛乳业
2025-02-07,15.260,15.200,15.380,15.020,24098656.000,hk02319,蒙牛乳业
2025-02-10,15.280,15.480,15.480,15.140,24856795.000,hk02319,蒙牛乳业
2025-02-11,15.480,15.260,15.600,15.140,19089416.000,hk02319,蒙牛乳业
2025-02-12,15.360,15.260,15.560,15.100,41747274.000,hk02319,蒙牛乳业
2025-02-13,15.340,15.680,16.360,14.920,71804407.000,hk02319,蒙牛乳业
2025-02-14,15.940,16.080,16.240,15.780,31217320.000,hk02319,蒙牛乳业
2025-02-17,16.020,15.660,16.120,15.440,43818839.000,hk02319,蒙牛乳业
2025-02-18,15.680,15.640,15.960,15.500,28057701.000,hk02319,蒙牛乳业
2025-02-19,16.060,17.260,17.480,16.060,91492529.000,hk02319,蒙牛乳业
2025-02-20,17.120,16.580,17.120,16.560,38657463.000,hk02319,蒙牛乳业
2025-02-21,16.980,16.640,17.020,16.400,31764350.000,hk02319,蒙牛乳业
2025-02-24,16.660,17.420,17.480,16.360,42691129.000,hk02319,蒙牛乳业
2025-02-25,17.140,17.200,17.720,17.000,48120986.000,hk02319,蒙牛乳业
2025-02-26,17.360,17.840,17.960,17.320,46262184.000,hk02319,蒙牛乳业
2025-02-27,17.760,18.240,18.760,17.700,56688205.000,hk02319,蒙牛乳业
2025-02-28,18.040,17.740,18.100,17.460,58063089.000,hk02319,蒙牛乳业
2025-03-03,17.680,18.020,18.460,17.680,43285578.000,hk02319,蒙牛乳业
2025-03-04,17.900,18.000,18.340,17.440,27445359.000,hk02319,蒙牛乳业
2025-03-05,18.280,18.560,18.640,18.000,31985964.000,hk02319,蒙牛乳业
2025-03-06,18.800,18.640,18.880,18.300,28679781.000,hk02319,蒙牛乳业
2025-03-07,18.660,18.940,19.380,18.420,34437516.000,hk02319,蒙牛乳业
2025-03-10,19.060,18.860,19.200,18.420,22666367.000,hk02319,蒙牛乳业
2025-03-11,18.460,18.980,19.060,18.240,20916082.000,hk02319,蒙牛乳业
2025-03-12,18.700,18.880,19.320,18.580,31519695.000,hk02319,蒙牛乳业
2025-03-13,18.880,18.160,18.880,17.740,36103516.000,hk02319,蒙牛乳业
2025-03-14,18.680,19.800,19.880,18.540,58165786.000,hk02319,蒙牛乳业
2025-03-17,20.800,19.860,21.000,19.680,61385110.000,hk02319,蒙牛乳业
2025-03-18,20.400,19.480,20.450,19.320,42377654.000,hk02319,蒙牛乳业
2025-03-19,19.480,19.960,20.150,19.220,27639574.000,hk02319,蒙牛乳业
2025-03-20,19.860,19.060,19.900,18.960,30200186.000,hk02319,蒙牛乳业
2025-03-21,19.220,18.880,19.360,18.640,27901466.000,hk02319,蒙牛乳业
2025-03-24,18.700,18.840,18.880,18.460,22088407.000,hk02319,蒙牛乳业
2025-03-25,18.520,18.460,18.800,18.280,19237970.000,hk02319,蒙牛乳业
2025-03-26,18.280,18.460,18.560,18.120,20383133.000,hk02319,蒙牛乳业
2025-03-27,18.700,19.500,19.940,18.460,47818662.000,hk02319,蒙牛乳业
2025-03-28,19.800,19.420,19.980,19.080,24982175.000,hk02319,蒙牛乳业
2025-03-31,19.360,19.200,19.420,18.800,29021603.000,hk02319,蒙牛乳业
2025-04-01,19.280,19.420,19.520,19.000,17660060.000,hk02319,蒙牛乳业
2025-04-02,19.420,19.580,19.700,19.180,26032520.000,hk02319,蒙牛乳业
