date,open,high,low,close,volume,code,name
2024-11-29,33.950,34.200,34.800,33.600,2827960.000,hk09866,蔚来
2024-12-02,34.200,35.200,35.300,34.200,3300884.000,hk09866,蔚来
2024-12-03,35.200,35.500,35.900,34.700,7485226.000,hk09866,蔚来
2024-12-04,36.700,37.100,37.750,36.350,7140511.000,hk09866,蔚来
2024-12-05,36.800,36.650,36.800,35.850,5902752.000,hk09866,蔚来
2024-12-06,36.650,36.200,37.250,35.350,14780600.000,hk09866,蔚来
2024-12-09,36.100,38.150,38.150,35.550,9978930.000,hk09866,蔚来
2024-12-10,40.700,37.950,40.950,37.700,7520652.000,hk09866,蔚来
2024-12-11,37.950,37.300,38.100,36.600,3798914.000,hk09866,蔚来
2024-12-12,37.000,36.400,37.050,36.250,4263093.000,hk09866,蔚来
2024-12-13,36.400,34.950,36.400,34.900,3731618.000,hk09866,蔚来
2024-12-16,34.950,35.300,35.500,34.750,2369332.000,hk09866,蔚来
2024-12-17,35.300,34.650,35.650,34.600,2913321.000,hk09866,蔚来
2024-12-18,35.000,35.850,36.150,34.800,2890846.000,hk09866,蔚来
2024-12-19,34.800,34.650,34.850,34.300,5279146.000,hk09866,蔚来
2024-12-20,34.650,35.300,36.800,34.600,17623091.000,hk09866,蔚来
2024-12-23,36.100,34.950,36.100,34.750,4470945.000,hk09866,蔚来
2024-12-24,34.700,35.200,35.500,34.500,894900.000,hk09866,蔚来
2024-12-27,36.050,36.400,36.900,35.500,4026218.000,hk09866,蔚来
2024-12-30,36.000,35.050,36.000,34.950,3973227.000,hk09866,蔚来
2024-12-31,35.050,34.800,35.150,34.500,1612062.000,hk09866,蔚来
2025-01-02,34.800,34.300,35.600,34.250,4645716.000,hk09866,蔚来
2025-01-03,36.150,35.150,36.500,34.850,7129465.000,hk09866,蔚来
2025-01-06,36.000,36.550,37.200,35.750,5017660.000,hk09866,蔚来
2025-01-07,36.500,36.400,36.950,35.950,3055770.000,hk09866,蔚来
2025-01-08,35.900,33.800,35.900,33.300,9961103.000,hk09866,蔚来
2025-01-09,33.600,33.200,33.900,33.100,3611659.000,hk09866,蔚来
2025-01-10,33.450,33.050,33.750,32.750,2498720.000,hk09866,蔚来
2025-01-13,32.500,32.850,32.950,32.250,2417994.000,hk09866,蔚来
2025-01-14,32.000,32.400,32.850,31.750,4920886.000,hk09866,蔚来
2025-01-15,32.500,31.650,32.500,31.150,5495390.000,hk09866,蔚来
2025-01-16,32.200,32.200,32.850,31.850,3801914.000,hk09866,蔚来
2025-01-17,32.350,32.650,33.000,32.350,1814278.000,hk09866,蔚来
2025-01-20,34.000,34.100,34.800,33.800,4635646.000,hk09866,蔚来
2025-01-21,34.200,34.950,35.150,33.950,5527614.000,hk09866,蔚来
2025-01-22,32.650,32.900,33.550,32.100,6205191.000,hk09866,蔚来
2025-01-23,33.550,33.000,34.000,32.900,2503110.000,hk09866,蔚来
2025-01-24,32.400,32.950,33.350,32.300,1905800.000,hk09866,蔚来
2025-01-27,33.000,34.050,34.300,33.000,3918800.000,hk09866,蔚来
2025-01-28,33.850,34.050,34.100,33.400,1025520.000,hk09866,蔚来
2025-02-03,33.600,33.250,33.600,32.500,4249230.000,hk09866,蔚来
2025-02-04,33.900,34.750,35.300,33.750,5969264.000,hk09866,蔚来
2025-02-05,33.550,33.150,33.750,32.700,5754192.000,hk09866,蔚来
2025-02-06,33.150,33.850,33.850,32.300,4471468.000,hk09866,蔚来
2025-02-07,33.450,33.950,34.300,33.250,6425417.000,hk09866,蔚来
2025-02-10,34.000,34.050,34.550,33.450,3743460.000,hk09866,蔚来
2025-02-11,34.150,33.300,34.600,32.950,4965542.000,hk09866,蔚来
2025-02-12,32.300,32.500,32.850,31.950,6291873.000,hk09866,蔚来
2025-02-13,32.500,32.700,34.100,32.250,6093273.000,hk09866,蔚来
2025-02-14,33.850,34.550,34.650,33.200,5783600.000,hk09866,蔚来
2025-02-17,34.500,34.800,35.550,34.250,4939071.000,hk09866,蔚来
2025-02-18,34.800,35.500,35.700,34.600,3757105.000,hk09866,蔚来
2025-02-19,34.650,34.900,35.250,34.050,4498585.000,hk09866,蔚来
2025-02-20,34.900,33.750,35.000,33.500,4677255.000,hk09866,蔚来
2025-02-21,34.400,35.300,35.300,34.050,5943712.000,hk09866,蔚来
2025-02-24,35.300,35.050,35.900,34.350,4418570.000,hk09866,蔚来
2025-02-25,34.800,35.200,36.150,34.100,5891474.000,hk09866,蔚来
2025-02-26,34.300,34.750,35.050,33.800,7470043.000,hk09866,蔚来
2025-02-27,37.050,37.000,39.700,36.700,21847916.000,hk09866,蔚来
2025-02-28,37.800,35.250,38.300,35.150,11864870.000,hk09866,蔚来
2025-03-03,35.800,35.150,36.550,34.900,4924726.000,hk09866,蔚来
2025-03-04,33.850,33.550,33.850,32.700,7324070.000,hk09866,蔚来
2025-03-05,33.550,33.100,33.950,32.700,5984879.000,hk09866,蔚来
2025-03-06,33.550,34.100,34.300,33.450,5493044.000,hk09866,蔚来
2025-03-07,33.900,33.650,34.600,33.200,5085788.000,hk09866,蔚来
2025-03-10,34.050,34.650,35.500,33.950,5954336.000,hk09866,蔚来
2025-03-11,34.650,38.050,39.450,34.300,18338453.000,hk09866,蔚来
2025-03-12,40.900,40.150,42.050,39.800,14757606.000,hk09866,蔚来
2025-03-13,40.200,39.150,40.900,38.400,6118774.000,hk09866,蔚来
2025-03-14,38.000,36.750,38.000,35.800,8720262.000,hk09866,蔚来
2025-03-17,37.650,38.000,38.750,37.650,5591008.000,hk09866,蔚来
2025-03-18,38.850,41.400,44.750,38.450,20761139.000,hk09866,蔚来
2025-03-19,41.350,40.950,42.000,39.650,9686668.000,hk09866,蔚来
2025-03-20,40.900,39.350,40.900,39.050,5098812.000,hk09866,蔚来
2025-03-21,37.000,35.900,38.900,35.750,14815279.000,hk09866,蔚来
2025-03-24,35.900,34.700,35.900,34.000,10513857.000,hk09866,蔚来
2025-03-25,34.400,33.800,34.550,33.650,5167684.000,hk09866,蔚来
2025-03-26,34.000,34.300,34.600,33.900,3077321.000,hk09866,蔚来
2025-03-27,33.350,32.550,33.650,32.500,7506937.000,hk09866,蔚来
2025-03-28,31.200,30.250,31.250,29.900,34617357.000,hk09866,蔚来
2025-03-31,29.500,28.950,29.500,28.400,14621210.000,hk09866,蔚来
2025-04-01,29.650,29.300,29.850,29.100,10338913.000,hk09866,蔚来
2025-04-02,29.700,29.650,30.050,29.150,14141037.000,hk09866,蔚来
2025-04-03,28.800,28.750,29.300,28.400,8399641.000,hk09866,蔚来
2025-04-07,25.150,24.500,25.950,24.050,25402692.000,hk09866,蔚来
2025-04-08,25.850,25.850,26.600,25.150,19396620.000,hk09866,蔚来
2025-04-09,24.000,25.500,25.500,23.700,15733090.000,hk09866,蔚来
2025-04-10,26.550,26.500,27.300,26.200,13122040.000,hk09866,蔚来
2025-04-11,25.650,26.050,27.350,25.150,15723354.000,hk09866,蔚来
2025-04-14,28.100,27.850,28.350,27.250,10776590.000,hk09866,蔚来
2025-04-15,28.100,27.950,28.600,27.500,6426780.000,hk09866,蔚来
2025-04-16,27.900,26.550,27.900,26.250,10357461.000,hk09866,蔚来
2025-04-17,26.800,27.350,27.750,26.800,7644650.000,hk09866,蔚来
2025-04-22,28.500,28.150,28.950,27.900,11449515.000,hk09866,蔚来
2025-04-23,29.450,29.400,29.700,28.950,9191076.000,hk09866,蔚来
2025-04-24,30.400,30.500,30.750,29.900,10545333.000,hk09866,蔚来
2025-04-25,32.400,31.700,32.650,31.550,12346037.000,hk09866,蔚来
2025-04-28,31.200,31.600,31.800,30.900,7305449.000,hk09866,蔚来
2025-04-29,33.350,33.150,34.200,32.850,11004687.000,hk09866,蔚来
2025-04-30,33.100,31.450,33.250,30.650,17166862.000,hk09866,蔚来
2025-05-02,30.900,31.800,32.050,30.250,6653695.000,hk09866,蔚来
2025-05-06,31.200,29.750,31.200,29.500,12563401.000,hk09866,蔚来
2025-05-07,30.500,29.850,30.900,29.800,6898525.000,hk09866,蔚来
2025-05-08,30.050,30.100,30.300,29.750,2980565.000,hk09866,蔚来
2025-05-09,30.500,30.550,30.700,29.950,3287436.000,hk09866,蔚来
2025-05-12,31.800,32.900,33.300,31.600,9427601.000,hk09866,蔚来
