date,open,high,low,close,volume,code,name
2024-11-29,4.450,4.410,4.480,4.390,68776051.000,hk01658,邮储银行
2024-12-02,4.410,4.420,4.450,4.380,50362445.000,hk01658,邮储银行
2024-12-03,4.410,4.500,4.510,4.410,43345673.000,hk01658,邮储银行
2024-12-04,4.510,4.490,4.530,4.450,66239094.000,hk01658,邮储银行
2024-12-05,4.500,4.440,4.500,4.430,74217019.000,hk01658,邮储银行
2024-12-06,4.440,4.440,4.510,4.420,100554594.000,hk01658,邮储银行
2024-12-09,4.420,4.550,4.550,4.420,81054971.000,hk01658,邮储银行
2024-12-10,4.610,4.510,4.630,4.490,103232171.000,hk01658,邮储银行
2024-12-11,4.510,4.460,4.540,4.450,54608857.000,hk01658,邮储银行
2024-12-12,4.450,4.530,4.580,4.440,123546451.000,hk01658,邮储银行
2024-12-13,4.500,4.440,4.510,4.420,83019314.000,hk01658,邮储银行
2024-12-16,4.420,4.470,4.510,4.420,116975904.000,hk01658,邮储银行
2024-12-17,4.450,4.480,4.510,4.420,82663350.000,hk01658,邮储银行
2024-12-18,4.500,4.520,4.590,4.500,61529010.000,hk01658,邮储银行
2024-12-19,4.510,4.530,4.570,4.490,60302005.000,hk01658,邮储银行
2024-12-20,4.530,4.520,4.570,4.520,58968156.000,hk01658,邮储银行
2024-12-23,4.550,4.630,4.660,4.540,103661441.000,hk01658,邮储银行
2024-12-24,4.620,4.670,4.720,4.610,75400000.000,hk01658,邮储银行
2024-12-27,4.610,4.490,4.610,4.440,83318511.000,hk01658,邮储银行
2024-12-30,4.530,4.570,4.570,4.470,84746822.000,hk01658,邮储银行
2024-12-31,4.560,4.580,4.630,4.550,52375438.000,hk01658,邮储银行
2025-01-02,4.560,4.510,4.600,4.480,85278293.000,hk01658,邮储银行
2025-01-03,4.510,4.510,4.550,4.470,64098211.000,hk01658,邮储银行
2025-01-06,4.520,4.520,4.560,4.490,40473097.000,hk01658,邮储银行
2025-01-07,4.540,4.550,4.580,4.510,89951877.000,hk01658,邮储银行
2025-01-08,4.550,4.550,4.610,4.530,71417110.000,hk01658,邮储银行
2025-01-09,4.590,4.480,4.590,4.470,63496347.000,hk01658,邮储银行
2025-01-10,4.500,4.440,4.540,4.420,65021324.000,hk01658,邮储银行
2025-01-13,4.440,4.430,4.440,4.340,44625565.000,hk01658,邮储银行
2025-01-14,4.420,4.450,4.470,4.410,43788198.000,hk01658,邮储银行
2025-01-15,4.450,4.490,4.510,4.430,61374323.000,hk01658,邮储银行
2025-01-16,4.510,4.570,4.570,4.490,57323540.000,hk01658,邮储银行
2025-01-17,4.570,4.540,4.590,4.520,50148000.000,hk01658,邮储银行
2025-01-20,4.580,4.520,4.590,4.510,53955400.000,hk01658,邮储银行
2025-01-21,4.550,4.620,4.630,4.520,76015023.000,hk01658,邮储银行
2025-01-22,4.620,4.540,4.620,4.520,49133827.000,hk01658,邮储银行
2025-01-23,4.540,4.670,4.700,4.540,96274015.000,hk01658,邮储银行
2025-01-24,4.680,4.670,4.710,4.640,48399327.000,hk01658,邮储银行
2025-01-27,4.670,4.750,4.770,4.660,81292812.000,hk01658,邮储银行
2025-01-28,4.760,4.640,4.760,4.620,21591002.000,hk01658,邮储银行
2025-02-03,4.580,4.560,4.600,4.460,36412472.000,hk01658,邮储银行
2025-02-04,4.600,4.590,4.650,4.510,42648721.000,hk01658,邮储银行
2025-02-05,4.620,4.600,4.640,4.540,77296326.000,hk01658,邮储银行
2025-02-06,4.600,4.620,4.650,4.560,76387872.000,hk01658,邮储银行
2025-02-07,4.640,4.570,4.640,4.540,100535537.000,hk01658,邮储银行
2025-02-10,4.590,4.650,4.650,4.560,76637817.000,hk01658,邮储银行
2025-02-11,4.660,4.650,4.680,4.620,54462422.000,hk01658,邮储银行
2025-02-12,4.670,4.780,4.790,4.650,127659178.000,hk01658,邮储银行
2025-02-13,4.780,4.740,4.820,4.720,98126290.000,hk01658,邮储银行
2025-02-14,4.760,4.760,4.810,4.690,79896897.000,hk01658,邮储银行
2025-02-17,4.740,4.910,4.920,4.730,72265490.000,hk01658,邮储银行
2025-02-18,4.890,4.950,4.970,4.870,43962224.000,hk01658,邮储银行
2025-02-19,4.950,4.930,4.950,4.870,41345028.000,hk01658,邮储银行
2025-02-20,4.930,4.900,4.980,4.880,39668365.000,hk01658,邮储银行
2025-02-21,4.940,4.960,4.960,4.870,51508289.000,hk01658,邮储银行
2025-02-24,4.900,4.970,5.050,4.880,60258545.000,hk01658,邮储银行
2025-02-25,4.980,4.910,5.000,4.890,57947172.000,hk01658,邮储银行
2025-02-26,4.980,5.010,5.050,4.960,57222139.000,hk01658,邮储银行
2025-02-27,4.980,5.000,5.070,4.980,122268474.000,hk01658,邮储银行
2025-02-28,5.000,4.930,5.050,4.930,178326650.000,hk01658,邮储银行
2025-03-03,4.930,4.980,5.010,4.890,70780752.000,hk01658,邮储银行
2025-03-04,4.970,5.010,5.050,4.910,57702191.000,hk01658,邮储银行
2025-03-05,5.020,5.100,5.150,5.020,84467015.000,hk01658,邮储银行
2025-03-06,5.150,5.090,5.170,5.060,53342031.000,hk01658,邮储银行
2025-03-07,5.100,5.110,5.160,5.080,76889115.000,hk01658,邮储银行
2025-03-10,5.120,5.080,5.160,5.030,67322667.000,hk01658,邮储银行
2025-03-11,5.060,5.080,5.150,5.010,53879043.000,hk01658,邮储银行
2025-03-12,5.080,5.050,5.140,5.000,90094584.000,hk01658,邮储银行
2025-03-13,5.050,5.100,5.120,5.020,72194360.000,hk01658,邮储银行
2025-03-14,5.100,5.180,5.250,5.070,87848600.000,hk01658,邮储银行
2025-03-17,5.200,5.250,5.290,5.190,61134000.000,hk01658,邮储银行
2025-03-18,5.270,5.310,5.320,5.230,40285378.000,hk01658,邮储银行
2025-03-19,5.250,5.330,5.360,5.240,66194397.000,hk01658,邮储银行
2025-03-20,5.290,5.290,5.370,5.280,48027457.000,hk01658,邮储银行
2025-03-21,5.260,5.260,5.330,5.230,69088709.000,hk01658,邮储银行
2025-03-24,5.230,5.280,5.290,5.190,52190847.000,hk01658,邮储银行
2025-03-25,5.240,5.230,5.300,5.220,36183787.000,hk01658,邮储银行
2025-03-26,5.220,5.200,5.260,5.130,62119278.000,hk01658,邮储银行
2025-03-27,5.200,5.090,5.220,5.080,47683089.000,hk01658,邮储银行
2025-03-28,5.070,4.970,5.070,4.830,138042501.000,hk01658,邮储银行
2025-03-31,4.970,4.810,4.970,4.780,142030204.000,hk01658,邮储银行
2025-04-01,4.810,4.830,4.850,4.740,78796583.000,hk01658,邮储银行
2025-04-02,4.830,4.900,4.910,4.800,50859053.000,hk01658,邮储银行
2025-04-03,4.850,4.820,4.880,4.810,58248188.000,hk01658,邮储银行
2025-04-07,4.570,4.530,4.730,4.500,198007289.000,hk01658,邮储银行
2025-04-08,4.500,4.520,4.560,4.470,109864995.000,hk01658,邮储银行
2025-04-09,4.490,4.460,4.500,4.360,94235285.000,hk01658,邮储银行
2025-04-10,4.470,4.580,4.630,4.470,68443716.000,hk01658,邮储银行
2025-04-11,4.580,4.630,4.670,4.530,60146772.000,hk01658,邮储银行
2025-04-14,4.670,4.790,4.800,4.640,53364030.000,hk01658,邮储银行
2025-04-15,4.790,4.820,4.860,4.770,60700473.000,hk01658,邮储银行
2025-04-16,4.820,4.770,4.860,4.760,47403407.000,hk01658,邮储银行
2025-04-17,4.770,4.820,4.820,4.770,23731085.000,hk01658,邮储银行
2025-04-22,4.880,4.870,4.880,4.770,50423746.000,hk01658,邮储银行
2025-04-23,4.780,4.790,4.820,4.740,43861895.000,hk01658,邮储银行
2025-04-24,4.790,4.760,4.820,4.740,43780794.000,hk01658,邮储银行
2025-04-25,4.790,4.770,4.820,4.750,48997919.000,hk01658,邮储银行
2025-04-28,4.780,4.840,4.860,4.760,45837130.000,hk01658,邮储银行
2025-04-29,4.880,4.850,4.900,4.800,39945988.000,hk01658,邮储银行
2025-04-30,4.830,4.780,4.830,4.550,211643442.000,hk01658,邮储银行
2025-05-02,4.780,4.770,4.850,4.740,28046000.000,hk01658,邮储银行
2025-05-06,4.740,4.760,4.780,4.700,73624598.000,hk01658,邮储银行
2025-05-07,4.790,4.790,4.840,4.760,89816900.000,hk01658,邮储银行
2025-05-08,4.790,4.780,4.850,4.750,76277855.000,hk01658,邮储银行
2025-05-09,4.780,4.780,4.850,4.760,93672110.000,hk01658,邮储银行
2025-05-12,4.830,4.870,4.900,4.790,100420749.000,hk01658,邮储银行
2025-05-13,4.860,4.950,4.960,4.830,56798416.000,hk01658,邮储银行
2025-05-14,4.960,5.060,5.070,4.930,73456810.000,hk01658,邮储银行
2025-05-15,5.060,5.020,5.080,5.000,67135508.000,hk01658,邮储银行
2025-05-16,5.020,5.010,5.040,4.940,52868716.000,hk01658,邮储银行
2025-05-19,5.000,4.990,5.070,4.970,62813276.000,hk01658,邮储银行
2025-05-20,5.000,5.040,5.050,4.980,46231425.000,hk01658,邮储银行
2025-05-21,5.030,5.060,5.110,5.010,48807816.000,hk01658,邮储银行
2025-05-22,5.040,5.160,5.170,5.040,54424000.000,hk01658,邮储银行
2025-05-23,5.160,5.110,5.180,5.090,56546192.000,hk01658,邮储银行
2025-05-26,5.110,5.060,5.170,5.040,55011660.000,hk01658,邮储银行
2025-05-27,5.060,5.110,5.150,5.060,48468163.000,hk01658,邮储银行
2025-05-28,5.100,5.080,5.150,5.020,67969460.000,hk01658,邮储银行
2025-05-29,5.100,5.090,5.120,5.040,46359498.000,hk01658,邮储银行
2025-05-30,5.040,5.100,5.140,5.040,82146452.000,hk01658,邮储银行
2025-06-02,5.000,4.950,5.020,4.860,32755898.000,hk01658,邮储银行
2025-06-03,4.970,5.110,5.110,4.960,61218085.000,hk01658,邮储银行
2025-06-04,5.110,5.120,5.120,5.030,48166067.000,hk01658,邮储银行
2025-06-05,5.120,5.110,5.170,5.100,29419014.000,hk01658,邮储银行
2025-06-06,5.110,5.110,5.160,5.060,35447181.000,hk01658,邮储银行
2025-06-09,5.100,5.180,5.200,5.090,38704616.000,hk01658,邮储银行
2025-06-10,5.180,5.210,5.290,5.140,52959724.000,hk01658,邮储银行
2025-06-11,5.180,5.270,5.290,5.180,60680520.000,hk01658,邮储银行
2025-06-12,5.260,5.250,5.320,5.230,91550389.000,hk01658,邮储银行
