date,open,high,low,close,volume,code,name
2024-11-29,19.000,19.840,19.900,19.000,13538380.000,hk01928,金沙中国
2024-12-02,20.200,20.300,21.100,20.000,22395840.000,hk01928,金沙中国
2024-12-03,20.450,20.400,20.500,20.200,12424324.000,hk01928,金沙中国
2024-12-04,20.200,20.250,20.450,20.100,8835006.000,hk01928,金沙中国
2024-12-05,20.250,20.150,20.300,19.940,8672485.000,hk01928,金沙中国
2024-12-06,20.150,20.200,20.350,20.000,10983607.000,hk01928,金沙中国
2024-12-09,20.200,20.600,20.600,19.960,19782356.000,hk01928,金沙中国
2024-12-10,21.500,21.100,21.650,20.800,49388415.000,hk01928,金沙中国
2024-12-11,21.100,21.050,21.300,20.800,9073302.000,hk01928,金沙中国
2024-12-12,21.100,21.900,22.450,20.900,23800204.000,hk01928,金沙中国
2024-12-13,21.900,21.850,22.050,21.500,15947067.000,hk01928,金沙中国
2024-12-16,21.850,21.500,22.450,21.400,22472987.000,hk01928,金沙中国
2024-12-17,21.400,21.150,21.500,20.750,11931579.000,hk01928,金沙中国
2024-12-18,21.500,21.450,21.650,21.150,7480049.000,hk01928,金沙中国
2024-12-19,21.250,21.300,21.450,21.000,9418028.000,hk01928,金沙中国
2024-12-20,21.300,21.300,21.600,20.950,12776933.000,hk01928,金沙中国
2024-12-23,21.400,21.450,21.550,21.150,5168030.000,hk01928,金沙中国
2024-12-24,21.600,21.500,21.600,21.150,4648152.000,hk01928,金沙中国
2024-12-27,21.500,21.750,21.800,21.250,8734222.000,hk01928,金沙中国
2024-12-30,21.750,20.650,21.900,20.500,18087805.000,hk01928,金沙中国
2024-12-31,20.650,20.900,21.300,20.550,8520742.000,hk01928,金沙中国
2025-01-02,20.900,20.200,20.950,20.000,16819066.000,hk01928,金沙中国
2025-01-03,20.100,19.720,20.400,19.520,18469490.000,hk01928,金沙中国
2025-01-06,19.760,19.720,19.920,19.540,16599702.000,hk01928,金沙中国
2025-01-07,19.500,20.000,20.000,19.440,14997430.000,hk01928,金沙中国
2025-01-08,19.800,19.660,20.000,19.480,10728074.000,hk01928,金沙中国
2025-01-09,19.660,19.560,19.760,19.520,6261676.000,hk01928,金沙中国
2025-01-10,19.560,19.100,19.740,19.000,13232061.000,hk01928,金沙中国
2025-01-13,18.920,18.760,18.940,18.460,10962970.000,hk01928,金沙中国
2025-01-14,18.600,18.560,18.920,18.420,27917951.000,hk01928,金沙中国
2025-01-15,18.380,18.100,18.400,17.600,38450554.000,hk01928,金沙中国
2025-01-16,18.100,18.040,18.380,17.860,16625497.000,hk01928,金沙中国
2025-01-17,18.040,17.940,18.140,17.740,9999534.000,hk01928,金沙中国
2025-01-20,18.200,18.340,18.740,18.080,21448416.000,hk01928,金沙中国
