date,open,high,low,close,volume,code,name
2024-11-29,33.200,34.550,34.750,33.200,11486156.000,hk00027,银河娱乐
2024-12-02,34.900,35.100,35.950,34.600,11971150.000,hk00027,银河娱乐
2024-12-03,35.200,35.500,35.700,34.900,8210786.000,hk00027,银河娱乐
2024-12-04,35.550,35.550,35.800,35.200,5118843.000,hk00027,银河娱乐
2024-12-05,35.250,35.200,35.300,34.850,4729261.000,hk00027,银河娱乐
2024-12-06,35.200,35.450,35.950,34.950,6422093.000,hk00027,银河娱乐
2024-12-09,35.150,36.250,36.300,34.950,6871914.000,hk00027,银河娱乐
2024-12-10,37.500,36.450,37.800,36.400,14600009.000,hk00027,银河娱乐
2024-12-11,36.500,36.150,36.800,35.950,3806025.000,hk00027,银河娱乐
2024-12-12,36.400,36.600,37.400,35.850,6574742.000,hk00027,银河娱乐
2024-12-13,36.300,35.900,36.300,35.500,6018062.000,hk00027,银河娱乐
2024-12-16,35.700,34.700,36.550,34.450,9799642.000,hk00027,银河娱乐
2024-12-17,34.400,34.250,34.700,33.850,10435602.000,hk00027,银河娱乐
2024-12-18,34.750,34.300,34.850,33.900,4832356.000,hk00027,银河娱乐
2024-12-19,33.700,34.150,34.350,33.600,5463002.000,hk00027,银河娱乐
2024-12-20,34.150,34.300,34.400,33.900,5904429.000,hk00027,银河娱乐
2024-12-23,34.500,34.250,34.650,34.050,3478937.000,hk00027,银河娱乐
2024-12-24,34.250,33.800,34.450,33.700,3332374.000,hk00027,银河娱乐
2024-12-27,33.800,33.900,34.350,33.600,5109667.000,hk00027,银河娱乐
2024-12-30,33.900,32.850,34.100,32.600,9572672.000,hk00027,银河娱乐
2024-12-31,32.800,33.000,33.300,32.500,3569603.000,hk00027,银河娱乐
2025-01-02,33.000,32.200,33.000,32.000,12051279.000,hk00027,银河娱乐
2025-01-03,32.700,33.000,33.200,32.600,8890994.000,hk00027,银河娱乐
2025-01-06,33.050,32.700,33.400,32.500,9349539.000,hk00027,银河娱乐
2025-01-07,32.300,33.600,33.800,32.300,10961482.000,hk00027,银河娱乐
2025-01-08,33.750,33.250,33.850,32.700,6631078.000,hk00027,银河娱乐
2025-01-09,33.250,33.450,33.800,33.100,6978943.000,hk00027,银河娱乐
2025-01-10,33.200,32.800,33.650,32.500,7529855.000,hk00027,银河娱乐
2025-01-13,32.300,32.050,32.300,31.650,9903207.000,hk00027,银河娱乐
2025-01-14,32.150,32.550,32.900,31.850,10176887.000,hk00027,银河娱乐
2025-01-15,32.400,32.100,32.800,31.850,9431630.000,hk00027,银河娱乐
2025-01-16,32.000,31.400,32.450,31.400,14959473.000,hk00027,银河娱乐
2025-01-17,31.250,31.500,31.800,31.050,9038017.000,hk00027,银河娱乐
2025-01-20,31.500,31.850,32.350,31.400,12477239.000,hk00027,银河娱乐
2025-01-21,32.350,32.200,32.400,31.750,5885121.000,hk00027,银河娱乐
2025-01-22,32.050,31.450,32.300,31.350,7966412.000,hk00027,银河娱乐
2025-01-23,31.700,30.900,31.950,30.800,9239913.000,hk00027,银河娱乐
2025-01-24,31.200,31.750,31.750,31.050,8141130.000,hk00027,银河娱乐
2025-01-27,32.000,32.800,33.200,31.950,16383170.000,hk00027,银河娱乐
2025-01-28,32.850,33.250,33.350,32.750,6066287.000,hk00027,银河娱乐
2025-02-03,32.000,31.300,32.100,30.900,26147561.000,hk00027,银河娱乐
2025-02-04,31.700,31.050,31.950,30.800,14549714.000,hk00027,银河娱乐
2025-02-05,31.050,29.900,31.350,29.000,25511794.000,hk00027,银河娱乐
2025-02-06,29.900,29.600,30.150,29.400,20870699.000,hk00027,银河娱乐
2025-02-07,29.600,29.650,30.100,29.200,16444117.000,hk00027,银河娱乐
2025-02-10,29.650,29.500,30.050,29.200,18388121.000,hk00027,银河娱乐
2025-02-11,29.500,28.300,29.600,28.050,27809635.000,hk00027,银河娱乐
2025-02-12,28.500,28.700,29.150,28.450,18247777.000,hk00027,银河娱乐
2025-02-13,28.850,29.200,30.200,28.800,26506810.000,hk00027,银河娱乐
2025-02-14,29.650,29.750,29.900,29.350,16742734.000,hk00027,银河娱乐
2025-02-17,29.850,30.050,30.350,29.600,13303943.000,hk00027,银河娱乐
2025-02-18,30.050,29.750,30.050,29.400,14033936.000,hk00027,银河娱乐
2025-02-19,29.500,29.650,29.900,29.200,7679349.000,hk00027,银河娱乐
2025-02-20,29.250,29.850,30.300,29.150,11372439.000,hk00027,银河娱乐
2025-02-21,29.900,29.500,29.900,29.100,18046283.000,hk00027,银河娱乐
2025-02-24,29.450,30.800,31.250,29.300,24705732.000,hk00027,银河娱乐
2025-02-25,30.250,30.150,30.450,29.850,13710611.000,hk00027,银河娱乐
2025-02-26,30.350,30.650,30.850,30.300,9169347.000,hk00027,银河娱乐
2025-02-27,30.400,31.300,31.600,30.200,24060922.000,hk00027,银河娱乐
2025-02-28,31.300,31.900,32.550,30.900,29887157.000,hk00027,银河娱乐
2025-03-03,32.400,32.350,33.750,32.300,25264657.000,hk00027,银河娱乐
2025-03-04,32.350,31.350,32.350,31.350,11206238.000,hk00027,银河娱乐
2025-03-05,31.300,32.150,32.300,31.150,9055016.000,hk00027,银河娱乐
2025-03-06,32.500,32.800,32.900,32.150,13908733.000,hk00027,银河娱乐
2025-03-07,32.500,32.550,33.250,32.200,8925942.000,hk00027,银河娱乐
2025-03-10,32.700,32.150,32.800,31.800,9441273.000,hk00027,银河娱乐
2025-03-11,31.800,32.250,32.350,31.150,10747364.000,hk00027,银河娱乐
2025-03-12,31.850,31.550,32.250,31.250,9743565.000,hk00027,银河娱乐
2025-03-13,31.550,31.150,31.800,30.800,7355977.000,hk00027,银河娱乐
2025-03-14,31.550,32.250,32.800,31.000,15492688.000,hk00027,银河娱乐
2025-03-17,32.300,32.650,33.300,32.300,12723963.000,hk00027,银河娱乐
2025-03-18,33.100,33.050,33.200,32.550,12986483.000,hk00027,银河娱乐
2025-03-19,33.050,33.600,33.700,32.800,15025057.000,hk00027,银河娱乐
2025-03-20,33.750,32.850,33.850,32.800,29549211.000,hk00027,银河娱乐
2025-03-21,32.850,32.700,33.100,32.150,24694079.000,hk00027,银河娱乐
2025-03-24,32.700,32.450,32.700,32.050,9540302.000,hk00027,银河娱乐
2025-03-25,32.700,32.050,32.700,31.800,11938802.000,hk00027,银河娱乐
2025-03-26,32.050,32.050,32.300,31.650,9523304.000,hk00027,银河娱乐
2025-03-27,32.050,32.050,32.600,31.850,9295834.000,hk00027,银河娱乐
2025-03-28,32.150,31.450,32.250,31.250,12105247.000,hk00027,银河娱乐
2025-03-31,31.450,30.400,31.450,30.200,19971124.000,hk00027,银河娱乐
2025-04-01,30.500,30.600,31.300,30.500,10863274.000,hk00027,银河娱乐
2025-04-02,30.650,30.500,30.950,30.200,8325619.000,hk00027,银河娱乐
2025-04-03,29.850,30.150,30.250,29.750,9084325.000,hk00027,银河娱乐
2025-04-07,27.900,26.400,28.200,26.050,44835894.000,hk00027,银河娱乐
2025-04-08,26.150,26.150,27.050,25.700,24682304.000,hk00027,银河娱乐
2025-04-09,25.400,25.550,25.650,24.300,24857655.000,hk00027,银河娱乐
2025-04-10,26.050,26.550,27.100,25.900,16756735.000,hk00027,银河娱乐
2025-04-11,26.550,27.600,27.850,26.300,22241456.000,hk00027,银河娱乐
