date,open,high,low,close,volume,code,name
2024-11-29,40.200,40.500,40.900,40.200,4950893.000,hk00001,长和
2024-12-02,40.750,40.700,41.150,40.500,3917254.000,hk00001,长和
2024-12-03,40.900,41.600,41.650,40.550,8921160.000,hk00001,长和
2024-12-04,41.600,41.900,41.950,41.200,3747105.000,hk00001,长和
2024-12-05,41.950,42.050,42.100,41.550,3701811.000,hk00001,长和
2024-12-06,42.200,42.350,42.650,42.100,4874738.000,hk00001,长和
2024-12-09,42.400,43.150,43.150,42.100,7752414.000,hk00001,长和
2024-12-10,44.000,42.750,44.100,42.700,8425143.000,hk00001,长和
2024-12-11,43.100,42.600,43.350,42.400,5418079.000,hk00001,长和
2024-12-12,42.700,42.900,43.200,42.650,4556045.000,hk00001,长和
2024-12-13,42.550,42.450,42.750,42.100,3922337.000,hk00001,长和
2024-12-16,42.000,41.550,42.350,41.300,6107028.000,hk00001,长和
2024-12-17,41.300,41.300,41.700,41.000,6694676.000,hk00001,长和
2024-12-18,41.300,41.150,41.500,40.650,6763986.000,hk00001,长和
2024-12-19,40.750,40.850,41.150,40.400,5803098.000,hk00001,长和
2024-12-20,40.750,40.600,40.800,40.400,5380303.000,hk00001,长和
2024-12-23,40.800,41.450,41.500,40.750,4020775.000,hk00001,长和
2024-12-24,41.600,41.650,41.950,41.450,1999516.000,hk00001,长和
2024-12-27,41.350,41.800,42.200,41.350,3075686.000,hk00001,长和
2024-12-30,41.800,41.400,42.050,41.250,3267427.000,hk00001,长和
2024-12-31,41.400,41.500,41.850,41.400,2190255.000,hk00001,长和
2025-01-02,41.300,41.050,41.500,40.700,4164402.000,hk00001,长和
2025-01-03,41.400,41.150,41.550,40.900,2627730.000,hk00001,长和
2025-01-06,41.450,41.300,41.800,40.950,3892729.000,hk00001,长和
2025-01-07,41.400,41.050,41.700,40.650,4598793.000,hk00001,长和
2025-01-08,41.000,40.550,41.100,40.400,5808409.000,hk00001,长和
2025-01-09,40.550,40.500,40.750,40.350,3060041.000,hk00001,长和
2025-01-10,40.500,40.350,40.900,40.100,4607674.000,hk00001,长和
2025-01-13,40.050,39.800,40.050,39.300,4876407.000,hk00001,长和
2025-01-14,39.650,39.800,39.900,39.350,7959404.000,hk00001,长和
2025-01-15,39.550,39.950,40.000,39.550,3820469.000,hk00001,长和
2025-01-16,39.800,39.650,40.150,39.550,5249583.000,hk00001,长和
2025-01-17,39.550,40.200,40.300,39.500,5205136.000,hk00001,长和
2025-01-20,40.350,40.100,40.500,40.100,3781726.000,hk00001,长和
2025-01-21,40.400,40.000,40.400,39.850,4911349.000,hk00001,长和
2025-01-22,39.850,40.000,40.150,39.700,4723515.000,hk00001,长和
2025-01-23,40.000,39.200,40.200,39.100,6318628.000,hk00001,长和
2025-01-24,39.200,39.250,39.600,39.000,5462191.000,hk00001,长和
2025-01-27,39.500,39.350,39.800,39.250,3916809.000,hk00001,长和
2025-01-28,39.750,39.200,40.200,39.200,3526282.000,hk00001,长和
2025-02-03,38.500,38.900,39.050,38.200,8633008.000,hk00001,长和
2025-02-04,39.350,39.050,39.650,38.750,7802445.000,hk00001,长和
2025-02-05,39.050,38.500,39.150,38.300,7737619.000,hk00001,长和
2025-02-06,38.550,38.950,39.050,38.300,5783386.000,hk00001,长和
2025-02-07,39.000,39.050,39.300,38.850,6223466.000,hk00001,长和
2025-02-10,38.950,39.050,39.200,38.700,5516254.000,hk00001,长和
2025-02-11,39.050,38.850,39.050,38.650,5379071.000,hk00001,长和
2025-02-12,39.000,39.300,39.450,38.800,7265102.000,hk00001,长和
2025-02-13,39.400,39.450,39.850,39.100,8388177.000,hk00001,长和
2025-02-14,39.800,39.450,39.950,39.250,6494095.000,hk00001,长和
2025-02-17,39.350,39.450,39.600,38.950,6854019.000,hk00001,长和
2025-02-18,39.350,39.500,39.500,39.000,7444959.000,hk00001,长和
2025-02-19,39.200,39.300,39.400,39.000,4250874.000,hk00001,长和
2025-02-20,39.300,39.650,39.800,39.150,6837096.000,hk00001,长和
2025-02-21,39.650,39.400,39.850,39.050,16634720.000,hk00001,长和
2025-02-24,39.150,39.750,40.250,39.100,9765737.000,hk00001,长和
2025-02-25,39.450,39.400,39.750,39.350,8472915.000,hk00001,长和
2025-02-26,39.550,39.850,39.950,39.450,8403775.000,hk00001,长和
2025-02-27,39.450,39.550,39.750,39.400,9317106.000,hk00001,长和
2025-02-28,39.550,38.850,39.550,38.850,16506111.000,hk00001,长和
2025-03-03,39.050,39.150,39.550,38.900,8207200.000,hk00001,长和
2025-03-04,38.900,38.650,39.000,38.500,13533894.000,hk00001,长和
2025-03-05,44.400,47.100,48.200,44.400,114869859.000,hk00001,长和
2025-03-06,48.450,51.550,52.950,47.850,88510645.000,hk00001,长和
2025-03-07,50.800,49.500,51.150,49.400,45375844.000,hk00001,长和
2025-03-10,49.050,49.600,50.350,48.900,21844267.000,hk00001,长和
2025-03-11,49.000,49.950,50.250,48.950,17670627.000,hk00001,长和
2025-03-12,49.550,49.350,49.850,49.200,12772119.000,hk00001,长和
2025-03-13,49.550,49.400,49.850,49.050,9349981.000,hk00001,长和
2025-03-14,46.300,46.250,47.650,46.050,60852631.000,hk00001,长和
2025-03-17,45.900,46.550,46.900,45.150,37913568.000,hk00001,长和
2025-03-18,46.550,45.250,47.300,44.250,61880210.000,hk00001,长和
2025-03-19,45.200,45.800,45.850,44.250,36711320.000,hk00001,长和
2025-03-20,45.500,44.850,45.800,44.600,21874483.000,hk00001,长和
2025-03-21,43.650,43.250,44.700,42.900,35559945.000,hk00001,长和
2025-03-24,43.950,45.050,45.500,43.550,22572013.000,hk00001,长和
2025-03-25,45.200,45.050,45.700,44.850,15322855.000,hk00001,长和
2025-03-26,45.050,45.300,46.800,44.650,32846174.000,hk00001,长和
2025-03-27,45.600,45.700,46.950,45.250,27415537.000,hk00001,长和
2025-03-28,45.900,45.150,45.900,44.800,13117045.000,hk00001,长和
2025-03-31,43.100,43.750,44.100,43.050,21554922.000,hk00001,长和
2025-04-01,44.000,44.500,44.750,43.650,9285665.000,hk00001,长和
2025-04-02,44.300,44.300,44.600,43.800,8963233.000,hk00001,长和
2025-04-03,43.500,43.850,43.950,43.100,13378055.000,hk00001,长和
2025-04-07,41.250,40.200,41.700,39.950,33409538.000,hk00001,长和
2025-04-08,40.200,39.150,41.050,38.750,29235005.000,hk00001,长和
2025-04-09,38.100,38.600,38.800,37.450,25419079.000,hk00001,长和
2025-04-10,39.750,39.500,40.100,38.800,14625956.000,hk00001,长和
2025-04-11,39.500,39.800,40.100,39.000,13729804.000,hk00001,长和
2025-04-14,40.400,41.100,41.300,40.100,12516935.000,hk00001,长和
2025-04-15,42.200,41.850,42.500,41.600,13397056.000,hk00001,长和
2025-04-16,41.950,41.900,42.500,41.450,9555216.000,hk00001,长和
2025-04-17,41.950,42.150,42.600,41.800,7401147.000,hk00001,长和
2025-04-22,42.250,43.300,43.500,42.200,10434592.000,hk00001,长和
2025-04-23,43.950,43.500,44.300,43.400,9974373.000,hk00001,长和
2025-04-24,43.100,42.950,43.650,42.800,7491657.000,hk00001,长和
2025-04-25,43.350,43.250,44.100,43.200,6170961.000,hk00001,长和
2025-04-28,43.050,43.000,43.350,42.850,6069209.000,hk00001,长和
2025-04-29,43.400,43.400,44.200,43.300,7405163.000,hk00001,长和
2025-04-30,43.450,43.800,44.000,43.150,7037177.000,hk00001,长和
2025-05-02,43.550,43.800,44.150,43.350,7583238.000,hk00001,长和
2025-05-06,43.800,43.950,44.350,43.450,8666821.000,hk00001,长和
2025-05-07,44.500,44.600,44.850,44.300,10621902.000,hk00001,长和
2025-05-08,44.500,44.150,44.550,44.000,6271348.000,hk00001,长和
2025-05-09,44.150,44.600,44.650,43.800,6169170.000,hk00001,长和
2025-05-12,45.050,45.200,45.500,44.750,10416982.000,hk00001,长和
2025-05-13,45.050,44.800,45.200,44.600,6820460.000,hk00001,长和
2025-05-14,45.300,45.350,45.600,44.800,11112751.000,hk00001,长和
2025-05-15,45.250,45.500,45.550,44.900,8291020.000,hk00001,长和
2025-05-16,45.200,45.250,45.250,44.550,5839708.000,hk00001,长和
2025-05-19,45.250,45.300,45.350,44.950,6204458.000,hk00001,长和
2025-05-20,45.450,45.550,45.600,45.100,7828719.000,hk00001,长和
2025-05-21,45.450,45.400,45.650,45.200,6786293.000,hk00001,长和
2025-05-22,45.400,45.100,45.400,44.750,6684328.000,hk00001,长和
2025-05-23,45.100,45.100,45.250,44.900,5272067.000,hk00001,长和
2025-05-26,45.150,44.900,45.150,44.700,8538812.000,hk00001,长和
2025-05-27,43.500,43.150,43.700,42.950,8958910.000,hk00001,长和
2025-05-28,43.400,43.550,43.600,43.100,4916048.000,hk00001,长和
2025-05-29,43.450,43.550,43.850,43.050,4532707.000,hk00001,长和
2025-05-30,43.250,44.150,44.150,43.050,14952637.000,hk00001,长和
2025-06-02,43.950,43.900,44.150,43.250,5170410.000,hk00001,长和
2025-06-03,43.950,45.800,46.350,43.950,18222350.000,hk00001,长和
2025-06-04,45.750,44.950,45.900,44.800,7961576.000,hk00001,长和
2025-06-05,45.300,45.650,45.800,45.250,5753585.000,hk00001,长和
2025-06-06,46.050,45.900,46.250,45.600,7030219.000,hk00001,长和
2025-06-09,46.000,46.100,46.300,45.850,6959874.000,hk00001,长和
2025-06-10,45.950,46.050,46.300,45.800,5761919.000,hk00001,长和
2025-06-11,46.250,46.400,46.700,45.950,7677419.000,hk00001,长和
2025-06-12,46.300,47.050,47.250,46.250,8200361.000,hk00001,长和
2025-06-13,47.550,47.400,48.000,46.550,13522804.000,hk00001,长和
2025-06-16,47.650,48.200,48.400,47.600,9179673.000,hk00001,长和
2025-06-17,48.250,48.400,48.750,47.900,6835961.000,hk00001,长和
2025-06-18,48.500,49.250,49.250,48.300,11783818.000,hk00001,长和
2025-06-19,49.000,47.700,49.100,47.400,9425897.000,hk00001,长和
2025-06-20,47.950,47.400,47.950,47.200,8420530.000,hk00001,长和
2025-06-23,46.800,48.400,48.500,46.650,6798115.000,hk00001,长和
2025-06-24,48.700,48.850,49.200,48.500,7344963.000,hk00001,长和
2025-06-25,48.700,49.050,49.100,48.600,8633111.000,hk00001,长和
2025-06-26,49.000,49.000,49.250,48.800,6319591.000,hk00001,长和
2025-06-27,48.800,48.700,49.500,48.300,7241287.000,hk00001,长和
2025-06-30,48.550,48.300,48.800,48.150,7020252.000,hk00001,长和
2025-07-02,48.800,49.250,49.350,48.600,9890994.000,hk00001,长和
2025-07-03,49.450,49.400,49.950,49.150,5601332.000,hk00001,长和
2025-07-04,49.200,48.600,49.200,48.150,4618833.000,hk00001,长和
2025-07-07,48.500,48.000,48.550,47.850,4135389.000,hk00001,长和
2025-07-08,48.000,47.850,48.450,47.600,5802719.000,hk00001,长和
2025-07-09,47.850,47.750,47.850,47.200,7381305.000,hk00001,长和
2025-07-10,47.750,47.950,48.000,47.300,4935023.000,hk00001,长和
2025-07-11,47.950,48.000,48.500,47.950,5648600.000,hk00001,长和
2025-07-14,48.000,48.000,48.250,47.600,3787712.000,hk00001,长和
2025-07-15,48.250,48.150,48.400,47.800,5805070.000,hk00001,长和
2025-07-16,48.500,48.300,48.700,48.150,5204115.000,hk00001,长和
2025-07-17,48.550,48.550,48.900,48.450,3950003.000,hk00001,长和
2025-07-18,48.900,48.950,49.000,48.300,6531211.000,hk00001,长和
2025-07-21,49.500,49.250,49.500,49.000,4685926.000,hk00001,长和
2025-07-22,49.250,50.700,51.000,49.250,12207936.000,hk00001,长和
2025-07-23,51.000,50.850,51.200,50.400,7781937.000,hk00001,长和
2025-07-24,50.850,52.300,52.800,50.600,15539181.000,hk00001,长和
2025-07-25,51.950,53.450,53.800,51.750,14723318.000,hk00001,长和
2025-07-28,53.950,53.000,54.600,52.600,14418595.000,hk00001,长和
2025-07-29,52.900,53.300,53.400,52.050,10042264.000,hk00001,长和
2025-07-30,53.150,52.550,53.150,52.350,5792598.000,hk00001,长和
2025-07-31,52.450,51.400,52.450,51.300,9931266.000,hk00001,长和
2025-08-01,51.200,50.500,51.250,50.400,10883869.000,hk00001,长和
2025-08-04,50.100,50.400,50.700,49.500,8771341.000,hk00001,长和
2025-08-05,50.200,50.900,51.100,50.100,4785116.000,hk00001,长和
2025-08-06,50.650,50.100,50.850,49.960,6470487.000,hk00001,长和
2025-08-07,50.350,51.150,51.400,50.150,5130774.000,hk00001,长和
2025-08-08,51.350,51.450,51.800,50.850,9077453.000,hk00001,长和
2025-08-11,51.900,51.350,51.900,51.250,4455029.000,hk00001,长和
2025-08-12,51.000,51.300,51.550,50.850,5117801.000,hk00001,长和
2025-08-13,51.500,52.200,52.350,51.400,8570480.000,hk00001,长和
2025-08-14,52.600,52.000,52.950,51.750,5405091.000,hk00001,长和
2025-08-15,51.500,51.450,53.300,50.850,13252374.000,hk00001,长和
2025-08-18,51.400,51.150,52.500,51.150,7027308.000,hk00001,长和
2025-08-19,51.550,51.500,51.700,51.150,4776851.000,hk00001,长和
