date,open,high,low,close,volume,code,name
2024-11-29,31.700,31.800,31.950,31.600,2047382.000,hk01113,长实集团
2024-12-02,31.950,31.700,32.100,31.500,3358841.000,hk01113,长实集团
2024-12-03,31.950,32.150,32.150,31.600,3994247.000,hk01113,长实集团
2024-12-04,32.000,32.100,32.250,31.750,5119891.000,hk01113,长实集团
2024-12-05,31.900,32.150,32.150,31.750,3661402.000,hk01113,长实集团
2024-12-06,32.400,32.450,32.650,32.200,6319524.000,hk01113,长实集团
2024-12-09,32.100,32.850,32.850,32.100,4465422.000,hk01113,长实集团
2024-12-10,33.400,32.500,33.450,32.350,4953453.000,hk01113,长实集团
2024-12-11,32.800,32.300,33.600,32.200,7521911.000,hk01113,长实集团
2024-12-12,32.350,32.600,32.950,32.150,5500806.000,hk01113,长实集团
2024-12-13,32.550,31.700,32.550,31.650,4701471.000,hk01113,长实集团
2024-12-16,31.650,31.150,31.750,31.000,5725783.000,hk01113,长实集团
2024-12-17,31.000,30.850,31.200,30.850,5123290.000,hk01113,长实集团
2024-12-18,30.850,30.750,31.150,30.700,4647263.000,hk01113,长实集团
2024-12-19,30.550,30.600,30.750,30.150,6922933.000,hk01113,长实集团
2024-12-20,30.300,30.500,30.750,30.250,6846724.000,hk01113,长实集团
2024-12-23,30.800,31.000,31.150,30.750,4078588.000,hk01113,长实集团
2024-12-24,31.000,31.600,31.750,31.000,2906490.000,hk01113,长实集团
2024-12-27,31.600,31.800,31.900,31.500,3378292.000,hk01113,长实集团
2024-12-30,31.800,31.700,32.000,31.400,2527708.000,hk01113,长实集团
2024-12-31,31.500,31.900,31.950,31.500,1585561.000,hk01113,长实集团
2025-01-02,31.650,31.250,31.700,31.100,3112185.000,hk01113,长实集团
2025-01-03,31.250,31.400,31.650,31.100,2501533.000,hk01113,长实集团
2025-01-06,31.350,31.700,31.800,31.350,4617094.000,hk01113,长实集团
2025-01-07,31.700,31.400,31.900,30.900,3589583.000,hk01113,长实集团
2025-01-08,31.400,31.500,31.600,31.150,5065248.000,hk01113,长实集团
2025-01-09,31.500,31.600,31.850,31.350,2912370.000,hk01113,长实集团
2025-01-10,31.600,31.500,31.700,31.250,4677432.000,hk01113,长实集团
2025-01-13,31.200,31.200,31.500,30.700,6358086.000,hk01113,长实集团
2025-01-14,31.200,31.450,31.700,31.050,5973675.000,hk01113,长实集团
2025-01-15,31.450,31.800,32.100,31.400,8773533.000,hk01113,长实集团
2025-01-16,32.100,32.050,32.450,31.900,6225648.000,hk01113,长实集团
2025-01-17,32.050,32.350,32.450,31.600,6002759.000,hk01113,长实集团
2025-01-20,32.350,32.650,32.800,32.300,4343141.000,hk01113,长实集团
2025-01-21,32.750,32.600,32.900,32.350,5578498.000,hk01113,长实集团
2025-01-22,32.600,32.300,32.650,32.200,5615801.000,hk01113,长实集团
2025-01-23,32.600,32.200,33.400,32.200,4262027.000,hk01113,长实集团
2025-01-24,32.600,32.500,32.650,32.250,3419602.000,hk01113,长实集团
2025-01-27,32.500,32.300,32.850,32.300,2685109.000,hk01113,长实集团
2025-01-28,32.550,32.450,32.800,32.050,2663443.000,hk01113,长实集团
2025-02-03,32.250,32.400,32.650,31.750,6506881.000,hk01113,长实集团
2025-02-04,32.250,32.200,32.650,31.500,7553060.000,hk01113,长实集团
2025-02-05,32.200,31.700,32.200,31.600,5718638.000,hk01113,长实集团
2025-02-06,31.700,31.850,31.950,31.500,4907699.000,hk01113,长实集团
2025-02-07,32.250,32.050,32.300,31.750,6604939.000,hk01113,长实集团
2025-02-10,32.050,32.450,32.450,31.900,6322866.000,hk01113,长实集团
2025-02-11,32.300,32.100,32.300,31.750,8086403.000,hk01113,长实集团
2025-02-12,32.300,32.900,33.050,32.300,9860913.000,hk01113,长实集团
2025-02-13,32.900,32.600,33.100,32.550,6892782.000,hk01113,长实集团
2025-02-14,32.950,33.200,33.450,32.900,8855322.000,hk01113,长实集团
2025-02-17,33.100,33.650,33.750,32.950,7729184.000,hk01113,长实集团
2025-02-18,33.650,33.650,33.650,33.250,7109586.000,hk01113,长实集团
2025-02-19,33.500,33.750,33.900,33.300,9417275.000,hk01113,长实集团
2025-02-20,33.750,33.850,34.100,33.600,7770444.000,hk01113,长实集团
2025-02-21,34.000,33.900,34.050,33.250,10458126.000,hk01113,长实集团
2025-02-24,33.850,34.500,34.800,33.650,6564306.000,hk01113,长实集团
