date,open,high,low,close,volume,code,name
2024-11-29,3.600,3.650,3.720,3.550,47157178.000,hk00241,阿里健康
2024-12-02,3.650,3.670,3.680,3.560,39468000.000,hk00241,阿里健康
2024-12-03,3.660,3.680,3.690,3.600,41703167.000,hk00241,阿里健康
2024-12-04,3.670,3.660,3.690,3.600,38066317.000,hk00241,阿里健康
2024-12-05,3.620,3.540,3.630,3.500,62832621.000,hk00241,阿里健康
2024-12-06,3.540,3.610,3.650,3.500,52557887.000,hk00241,阿里健康
2024-12-09,3.620,3.820,3.830,3.540,74234108.000,hk00241,阿里健康
2024-12-10,4.050,3.750,4.080,3.730,133558340.000,hk00241,阿里健康
2024-12-11,3.770,3.710,3.880,3.680,52902920.000,hk00241,阿里健康
2024-12-12,3.710,3.770,3.840,3.630,56888150.000,hk00241,阿里健康
2024-12-13,3.720,3.620,3.750,3.590,63402252.000,hk00241,阿里健康
2024-12-16,3.590,3.520,3.640,3.490,46498343.000,hk00241,阿里健康
2024-12-17,3.520,3.440,3.540,3.360,55498990.000,hk00241,阿里健康
2024-12-18,3.450,3.460,3.520,3.440,28256509.000,hk00241,阿里健康
2024-12-19,3.370,3.430,3.460,3.360,35099894.000,hk00241,阿里健康
2024-12-20,3.420,3.410,3.480,3.400,33641430.000,hk00241,阿里健康
2024-12-23,3.450,3.460,3.500,3.430,27888341.000,hk00241,阿里健康
2024-12-24,3.430,3.510,3.530,3.430,19925201.000,hk00241,阿里健康
2024-12-27,3.510,3.410,3.540,3.400,46253632.000,hk00241,阿里健康
2024-12-30,3.420,3.360,3.470,3.340,48124294.000,hk00241,阿里健康
2024-12-31,3.390,3.320,3.390,3.310,24552160.000,hk00241,阿里健康
2025-01-02,3.320,3.220,3.320,3.210,46211843.000,hk00241,阿里健康
2025-01-03,3.220,3.190,3.270,3.160,55981183.000,hk00241,阿里健康
2025-01-06,3.190,3.190,3.220,3.160,31217200.000,hk00241,阿里健康
2025-01-07,3.160,3.230,3.240,3.120,43750560.000,hk00241,阿里健康
2025-01-08,3.230,3.220,3.300,3.160,47674511.000,hk00241,阿里健康
2025-01-09,3.230,3.250,3.270,3.160,38512281.000,hk00241,阿里健康
2025-01-10,3.280,3.160,3.290,3.140,35525554.000,hk00241,阿里健康
2025-01-13,3.110,3.250,3.250,3.090,32989237.000,hk00241,阿里健康
2025-01-14,3.250,3.340,3.360,3.220,40328280.000,hk00241,阿里健康
2025-01-15,3.320,3.280,3.340,3.260,22792017.000,hk00241,阿里健康
2025-01-16,3.280,3.290,3.370,3.270,27746003.000,hk00241,阿里健康
2025-01-17,3.290,3.310,3.350,3.270,22512616.000,hk00241,阿里健康
2025-01-20,3.400,3.380,3.440,3.350,44366607.000,hk00241,阿里健康
2025-01-21,3.400,3.480,3.520,3.400,56431904.000,hk00241,阿里健康
2025-01-22,3.450,3.330,3.460,3.310,38695936.000,hk00241,阿里健康
2025-01-23,3.390,3.340,3.430,3.320,30210252.000,hk00241,阿里健康
2025-01-24,3.340,3.420,3.470,3.340,36621097.000,hk00241,阿里健康
2025-01-27,3.460,3.460,3.500,3.420,38548669.000,hk00241,阿里健康
2025-01-28,3.440,3.610,3.650,3.410,35380182.000,hk00241,阿里健康
2025-02-03,3.570,3.540,3.660,3.360,39983160.000,hk00241,阿里健康
2025-02-04,3.660,3.760,3.800,3.590,60024591.000,hk00241,阿里健康
2025-02-05,3.790,3.700,3.790,3.620,88680792.000,hk00241,阿里健康
2025-02-06,3.680,3.760,3.760,3.580,66271029.000,hk00241,阿里健康
2025-02-07,3.780,3.820,3.940,3.740,113795415.000,hk00241,阿里健康
2025-02-10,3.900,4.170,4.220,3.820,222656680.000,hk00241,阿里健康
2025-02-11,4.270,3.970,4.280,3.950,151216898.000,hk00241,阿里健康
2025-02-12,4.070,4.400,4.420,4.020,275327145.000,hk00241,阿里健康
2025-02-13,4.440,4.570,5.340,4.340,805074865.000,hk00241,阿里健康
2025-02-14,4.680,5.900,5.920,4.660,1075628027.000,hk00241,阿里健康
2025-02-17,6.300,5.620,6.700,5.340,1321395259.000,hk00241,阿里健康
2025-02-18,5.690,5.810,6.120,5.630,609782023.000,hk00241,阿里健康
2025-02-19,5.800,5.740,6.100,5.560,362948211.000,hk00241,阿里健康
2025-02-20,5.770,5.760,6.000,5.600,379504428.000,hk00241,阿里健康
2025-02-21,6.100,6.040,6.290,5.800,748680864.000,hk00241,阿里健康
2025-02-24,6.050,5.730,6.050,5.610,312801928.000,hk00241,阿里健康
