date,open,high,low,close,volume,code,name
2024-11-29,82.900,83.650,84.800,82.850,36163262.000,hk09988,阿里巴巴
2024-12-02,84.250,84.000,85.650,83.750,55668722.000,hk09988,阿里巴巴
2024-12-03,83.700,84.450,84.800,82.850,45041216.000,hk09988,阿里巴巴
2024-12-04,83.350,84.000,84.250,82.600,57896484.000,hk09988,阿里巴巴
2024-12-05,82.800,81.950,83.150,81.650,66632997.000,hk09988,阿里巴巴
2024-12-06,82.200,83.950,84.700,81.750,73451040.000,hk09988,阿里巴巴
2024-12-09,82.750,86.900,87.250,82.650,90092033.000,hk09988,阿里巴巴
2024-12-10,91.250,86.600,91.400,86.550,97398890.000,hk09988,阿里巴巴
2024-12-11,87.300,86.200,87.700,86.150,51946094.000,hk09988,阿里巴巴
2024-12-12,85.950,88.000,88.750,85.950,64845532.000,hk09988,阿里巴巴
2024-12-13,86.550,85.750,87.450,85.750,61023463.000,hk09988,阿里巴巴
2024-12-16,85.750,84.350,85.900,83.500,47958063.000,hk09988,阿里巴巴
2024-12-17,83.900,83.400,84.100,82.550,52558686.000,hk09988,阿里巴巴
2024-12-18,84.850,84.050,84.850,83.650,35976303.000,hk09988,阿里巴巴
2024-12-19,82.700,82.950,83.450,82.050,56263173.000,hk09988,阿里巴巴
2024-12-20,81.800,80.100,82.250,79.350,132887681.000,hk09988,阿里巴巴
2024-12-23,80.700,81.000,81.350,79.900,57974855.000,hk09988,阿里巴巴
2024-12-24,82.300,83.150,83.950,82.150,46601344.000,hk09988,阿里巴巴
2024-12-27,83.000,82.350,83.350,81.350,44013080.000,hk09988,阿里巴巴
2024-12-30,82.350,82.000,82.950,81.550,39010940.000,hk09988,阿里巴巴
2024-12-31,82.000,82.400,83.500,81.800,31449160.000,hk09988,阿里巴巴
2025-01-02,82.400,81.300,82.700,80.800,48562393.000,hk09988,阿里巴巴
2025-01-03,83.100,82.600,83.750,82.000,57859265.000,hk09988,阿里巴巴
2025-01-06,83.150,82.150,83.350,81.900,36259231.000,hk09988,阿里巴巴
2025-01-07,82.150,81.400,82.450,80.500,57807719.000,hk09988,阿里巴巴
2025-01-08,81.600,80.900,82.250,80.400,51033856.000,hk09988,阿里巴巴
2025-01-09,80.900,80.600,81.600,80.450,38857402.000,hk09988,阿里巴巴
2025-01-10,80.900,79.600,81.200,79.500,49178401.000,hk09988,阿里巴巴
2025-01-13,78.500,78.100,78.550,77.350,47082642.000,hk09988,阿里巴巴
2025-01-14,78.750,79.950,80.350,78.350,62238203.000,hk09988,阿里巴巴
2025-01-15,79.100,79.950,80.150,79.100,34729525.000,hk09988,阿里巴巴
