date,open,high,low,close,volume,code,name
2024-11-29,5.900,5.900,5.900,5.860,9943180.000,hk00003,香港中华煤气
2024-12-02,5.930,5.900,5.930,5.870,13216633.000,hk00003,香港中华煤气
2024-12-03,5.900,5.910,5.940,5.850,19703958.000,hk00003,香港中华煤气
2024-12-04,5.900,5.920,5.940,5.880,13502318.000,hk00003,香港中华煤气
2024-12-05,5.890,5.880,5.900,5.850,14818396.000,hk00003,香港中华煤气
2024-12-06,5.890,5.930,5.940,5.870,17048496.000,hk00003,香港中华煤气
2024-12-09,5.920,5.950,5.970,5.870,17805854.000,hk00003,香港中华煤气
2024-12-10,6.000,5.980,6.030,5.970,17571629.000,hk00003,香港中华煤气
2024-12-11,5.990,6.020,6.070,5.980,12990619.000,hk00003,香港中华煤气
2024-12-12,6.030,6.070,6.100,6.020,15269611.000,hk00003,香港中华煤气
2024-12-13,6.070,6.050,6.090,6.040,16842403.000,hk00003,香港中华煤气
2024-12-16,6.070,6.090,6.130,6.020,24725306.000,hk00003,香港中华煤气
2024-12-17,6.050,6.090,6.130,6.050,18134760.000,hk00003,香港中华煤气
2024-12-18,6.090,6.160,6.180,6.060,18447952.000,hk00003,香港中华煤气
2024-12-19,6.100,6.100,6.160,6.080,20960504.000,hk00003,香港中华煤气
2024-12-20,6.080,6.070,6.150,6.050,37532848.000,hk00003,香港中华煤气
2024-12-23,6.060,6.120,6.210,6.060,17508131.000,hk00003,香港中华煤气
2024-12-24,6.120,6.140,6.180,6.090,10493620.000,hk00003,香港中华煤气
2024-12-27,6.100,6.190,6.190,6.100,13131888.000,hk00003,香港中华煤气
2024-12-30,6.190,6.190,6.210,6.130,14286069.000,hk00003,香港中华煤气
2024-12-31,6.190,6.210,6.260,6.170,14204049.000,hk00003,香港中华煤气
2025-01-02,6.180,6.110,6.200,6.070,16264561.000,hk00003,香港中华煤气
2025-01-03,6.100,6.130,6.150,6.100,9987946.000,hk00003,香港中华煤气
2025-01-06,6.140,6.120,6.190,6.090,10438465.000,hk00003,香港中华煤气
2025-01-07,6.120,6.070,6.130,6.020,18555884.000,hk00003,香港中华煤气
2025-01-08,6.090,6.040,6.090,6.000,16215885.000,hk00003,香港中华煤气
2025-01-09,6.040,5.980,6.040,5.980,13253565.000,hk00003,香港中华煤气
2025-01-10,5.980,5.990,6.040,5.950,15338199.000,hk00003,香港中华煤气
2025-01-13,5.990,5.900,5.990,5.850,29177520.000,hk00003,香港中华煤气
2025-01-14,5.910,5.950,5.970,5.900,19485632.000,hk00003,香港中华煤气
2025-01-15,5.930,5.930,5.970,5.900,19117596.000,hk00003,香港中华煤气
2025-01-16,5.980,6.000,6.070,5.980,22514356.000,hk00003,香港中华煤气
2025-01-17,6.000,6.050,6.060,5.970,21355506.000,hk00003,香港中华煤气
2025-01-20,6.050,6.060,6.110,6.050,21745351.000,hk00003,香港中华煤气
2025-01-21,6.080,6.090,6.110,6.050,18295483.000,hk00003,香港中华煤气
2025-01-22,6.100,5.960,6.100,5.960,14623816.000,hk00003,香港中华煤气
2025-01-23,6.000,5.920,6.000,5.900,21076611.000,hk00003,香港中华煤气
2025-01-24,5.920,5.940,5.990,5.910,17012142.000,hk00003,香港中华煤气
2025-01-27,5.980,6.020,6.030,5.940,12717678.000,hk00003,香港中华煤气
2025-01-28,6.020,5.970,6.020,5.950,5871513.000,hk00003,香港中华煤气
2025-02-03,5.880,5.950,5.970,5.860,17220929.000,hk00003,香港中华煤气
2025-02-04,6.030,5.950,6.030,5.890,23215044.000,hk00003,香港中华煤气
2025-02-05,5.950,5.930,6.000,5.930,14109350.000,hk00003,香港中华煤气
2025-02-06,5.950,6.020,6.020,5.950,17591852.000,hk00003,香港中华煤气
2025-02-07,6.010,5.920,6.010,5.910,33418025.000,hk00003,香港中华煤气
2025-02-10,5.920,5.950,5.990,5.920,24280623.000,hk00003,香港中华煤气
2025-02-11,5.940,5.940,5.970,5.930,17741992.000,hk00003,香港中华煤气
2025-02-12,5.940,6.040,6.070,5.940,34443973.000,hk00003,香港中华煤气
2025-02-13,6.050,6.090,6.120,6.020,36101085.000,hk00003,香港中华煤气
2025-02-14,6.100,6.080,6.150,6.050,26781370.000,hk00003,香港中华煤气
2025-02-17,6.080,6.100,6.130,6.010,33698324.000,hk00003,香港中华煤气
2025-02-18,6.100,6.160,6.160,6.070,23609213.000,hk00003,香港中华煤气
2025-02-19,6.130,6.120,6.150,6.090,17700469.000,hk00003,香港中华煤气
2025-02-20,6.080,6.060,6.140,6.060,20613739.000,hk00003,香港中华煤气
2025-02-21,6.100,6.060,6.150,6.030,38650501.000,hk00003,香港中华煤气
2025-02-24,6.030,6.120,6.160,6.020,37105791.000,hk00003,香港中华煤气
2025-02-25,6.110,6.120,6.130,6.080,21091156.000,hk00003,香港中华煤气
2025-02-26,6.120,6.200,6.250,6.120,31710391.000,hk00003,香港中华煤气
2025-02-27,6.160,6.220,6.220,6.140,25843455.000,hk00003,香港中华煤气
2025-02-28,6.200,6.200,6.220,6.110,41083078.000,hk00003,香港中华煤气
2025-03-03,6.180,6.150,6.240,6.120,35355277.000,hk00003,香港中华煤气
2025-03-04,6.150,6.190,6.230,6.140,19240190.000,hk00003,香港中华煤气
2025-03-05,6.210,6.260,6.290,6.210,26717469.000,hk00003,香港中华煤气
2025-03-06,6.250,6.270,6.290,6.160,23802998.000,hk00003,香港中华煤气
2025-03-07,6.260,6.250,6.300,6.170,34385003.000,hk00003,香港中华煤气
2025-03-10,6.250,6.270,6.270,6.180,27760620.000,hk00003,香港中华煤气
2025-03-11,6.260,6.270,6.350,6.230,45193336.000,hk00003,香港中华煤气
2025-03-12,6.250,6.400,6.400,6.210,41902357.000,hk00003,香港中华煤气
2025-03-13,6.390,6.400,6.440,6.350,21810411.000,hk00003,香港中华煤气
2025-03-14,6.440,6.350,6.450,6.350,21422290.000,hk00003,香港中华煤气
2025-03-17,6.390,6.470,6.480,6.360,29965278.000,hk00003,香港中华煤气
2025-03-18,6.480,6.470,6.540,6.430,30558231.000,hk00003,香港中华煤气
2025-03-19,6.490,6.590,6.630,6.470,46499427.000,hk00003,香港中华煤气
2025-03-20,6.520,6.690,6.790,6.440,73086628.000,hk00003,香港中华煤气
2025-03-21,6.680,6.610,6.700,6.570,66437591.000,hk00003,香港中华煤气
2025-03-24,6.610,6.670,6.690,6.610,31606803.000,hk00003,香港中华煤气
2025-03-25,6.630,6.610,6.690,6.600,20401190.000,hk00003,香港中华煤气
2025-03-26,6.610,6.580,6.660,6.520,26445428.000,hk00003,香港中华煤气
2025-03-27,6.580,6.630,6.850,6.540,39922821.000,hk00003,香港中华煤气
2025-03-28,6.620,6.690,6.720,6.620,35490267.000,hk00003,香港中华煤气
2025-03-31,6.690,6.690,6.710,6.630,46282573.000,hk00003,香港中华煤气
2025-04-01,6.700,6.820,6.830,6.690,24924987.000,hk00003,香港中华煤气
2025-04-02,6.770,6.800,6.820,6.730,18968120.000,hk00003,香港中华煤气
2025-04-03,6.720,6.900,6.930,6.700,47321781.000,hk00003,香港中华煤气
2025-04-07,6.700,6.520,6.850,6.510,79094148.000,hk00003,香港中华煤气
2025-04-08,6.450,6.500,6.610,6.410,66321493.000,hk00003,香港中华煤气
2025-04-09,6.400,6.480,6.500,6.320,46560681.000,hk00003,香港中华煤气
2025-04-10,6.500,6.590,6.650,6.490,49444345.000,hk00003,香港中华煤气
2025-04-11,6.590,6.600,6.630,6.540,29302346.000,hk00003,香港中华煤气
2025-04-14,6.640,6.720,6.790,6.610,42134000.000,hk00003,香港中华煤气
2025-04-15,6.720,6.740,6.760,6.670,20427582.000,hk00003,香港中华煤气
2025-04-16,6.730,6.840,6.850,6.730,27210181.000,hk00003,香港中华煤气
2025-04-17,6.830,6.900,6.930,6.800,25187084.000,hk00003,香港中华煤气
2025-04-22,6.900,6.960,6.970,6.850,24614965.000,hk00003,香港中华煤气
2025-04-23,6.960,7.010,7.070,6.960,25783909.000,hk00003,香港中华煤气
2025-04-24,7.000,6.990,7.040,6.920,16848063.000,hk00003,香港中华煤气
2025-04-25,6.970,7.010,7.050,6.950,22386431.000,hk00003,香港中华煤气
2025-04-28,7.000,6.990,7.050,6.960,15284394.000,hk00003,香港中华煤气
2025-04-29,7.020,7.010,7.040,6.980,13841721.000,hk00003,香港中华煤气
2025-04-30,6.990,6.990,7.010,6.870,45731922.000,hk00003,香港中华煤气
2025-05-02,6.990,7.030,7.050,6.920,22260469.000,hk00003,香港中华煤气
2025-05-06,7.070,7.120,7.170,7.030,31341763.000,hk00003,香港中华煤气
2025-05-07,7.230,7.020,7.300,7.010,44093819.000,hk00003,香港中华煤气
2025-05-08,7.070,7.040,7.070,6.970,16236418.000,hk00003,香港中华煤气
2025-05-09,7.000,7.100,7.100,7.000,16198181.000,hk00003,香港中华煤气
2025-05-12,7.100,7.110,7.190,7.070,21906260.000,hk00003,香港中华煤气
2025-05-13,7.080,7.060,7.110,7.030,16174928.000,hk00003,香港中华煤气
2025-05-14,7.060,7.060,7.060,6.990,29302622.000,hk00003,香港中华煤气
2025-05-15,7.060,6.990,7.080,6.950,25678092.000,hk00003,香港中华煤气
2025-05-16,6.990,6.990,7.030,6.970,21666402.000,hk00003,香港中华煤气
2025-05-19,6.970,7.030,7.040,6.970,8971783.000,hk00003,香港中华煤气
2025-05-20,7.060,7.030,7.060,7.000,12025215.000,hk00003,香港中华煤气
2025-05-21,7.020,6.970,7.020,6.880,38522084.000,hk00003,香港中华煤气
2025-05-22,6.980,6.990,7.010,6.940,22688316.000,hk00003,香港中华煤气
2025-05-23,6.990,6.970,7.000,6.940,20579496.000,hk00003,香港中华煤气
2025-05-26,6.970,6.940,7.020,6.920,18363713.000,hk00003,香港中华煤气
2025-05-27,6.940,6.950,6.970,6.920,18122014.000,hk00003,香港中华煤气
2025-05-28,6.950,6.970,6.980,6.910,18072757.000,hk00003,香港中华煤气
2025-05-29,6.970,6.960,6.970,6.920,25596702.000,hk00003,香港中华煤气
2025-05-30,6.930,6.900,6.960,6.880,78067522.000,hk00003,香港中华煤气
