date,open,high,low,close,volume,code,name
2024-11-29,10.600,10.920,11.240,10.600,21546828.000,hk00960,龙湖集团
2024-12-02,10.940,11.120,11.340,10.820,12963969.000,hk00960,龙湖集团
2024-12-03,11.200,11.260,11.460,10.940,13275202.000,hk00960,龙湖集团
2024-12-04,11.260,11.060,11.380,11.020,13128134.000,hk00960,龙湖集团
2024-12-05,10.880,10.840,11.020,10.700,17063588.000,hk00960,龙湖集团
2024-12-06,10.820,11.200,11.240,10.780,30420553.000,hk00960,龙湖集团
2024-12-09,11.060,11.940,12.060,10.800,38249354.000,hk00960,龙湖集团
2024-12-10,12.660,11.440,13.160,11.400,52220051.000,hk00960,龙湖集团
2024-12-11,11.500,11.320,11.900,11.260,16808946.000,hk00960,龙湖集团
2024-12-12,11.240,11.520,11.880,11.120,20917204.000,hk00960,龙湖集团
2024-12-13,11.240,10.680,11.260,10.640,39332824.000,hk00960,龙湖集团
2024-12-16,10.680,10.160,10.720,10.080,32957872.000,hk00960,龙湖集团
2024-12-17,10.060,10.080,10.340,9.960,21547002.000,hk00960,龙湖集团
2024-12-18,10.200,10.200,10.280,10.100,8527465.000,hk00960,龙湖集团
2024-12-19,9.900,10.100,10.140,9.890,14431460.000,hk00960,龙湖集团
2024-12-20,10.020,10.080,10.300,9.930,21085297.000,hk00960,龙湖集团
2024-12-23,10.100,10.160,10.260,10.040,8805995.000,hk00960,龙湖集团
2024-12-24,10.120,10.380,10.400,10.120,7483090.000,hk00960,龙湖集团
2024-12-27,10.400,10.080,10.400,10.020,12085824.000,hk00960,龙湖集团
2024-12-30,9.990,10.060,10.200,9.920,13300952.000,hk00960,龙湖集团
2024-12-31,10.000,10.000,10.220,9.980,6441914.000,hk00960,龙湖集团
2025-01-02,10.000,9.970,10.300,9.900,18730252.000,hk00960,龙湖集团
2025-01-03,9.950,9.910,10.220,9.830,17159697.000,hk00960,龙湖集团
2025-01-06,9.960,9.910,10.020,9.740,13221910.000,hk00960,龙湖集团
2025-01-07,9.900,9.900,10.000,9.790,9986770.000,hk00960,龙湖集团
2025-01-08,9.900,9.750,9.960,9.550,16029830.000,hk00960,龙湖集团
2025-01-09,9.750,9.460,9.830,9.440,17760107.000,hk00960,龙湖集团
2025-01-10,9.460,9.300,9.460,9.130,17791570.000,hk00960,龙湖集团
2025-01-13,9.150,9.460,9.520,9.050,12782492.000,hk00960,龙湖集团
2025-01-14,9.460,9.510,9.690,9.360,12159766.000,hk00960,龙湖集团
2025-01-15,9.460,9.400,9.540,9.310,8775574.000,hk00960,龙湖集团
2025-01-16,9.500,9.660,9.840,9.500,18020100.000,hk00960,龙湖集团
2025-01-17,9.520,9.890,10.100,9.500,28467417.000,hk00960,龙湖集团
2025-01-20,10.000,9.880,10.240,9.860,15218001.000,hk00960,龙湖集团
2025-01-21,10.020,10.100,10.560,9.950,29061912.000,hk00960,龙湖集团
2025-01-22,10.180,9.710,10.180,9.600,16161756.000,hk00960,龙湖集团
2025-01-23,9.760,9.630,9.970,9.510,15739696.000,hk00960,龙湖集团
2025-01-24,9.630,9.620,9.760,9.530,7321117.000,hk00960,龙湖集团
2025-01-27,9.680,9.840,10.060,9.650,14220749.000,hk00960,龙湖集团
2025-01-28,9.830,9.820,10.020,9.770,4758457.000,hk00960,龙湖集团
2025-02-03,9.530,9.630,9.760,9.280,11698154.000,hk00960,龙湖集团
2025-02-04,9.700,9.810,9.930,9.470,9074922.000,hk00960,龙湖集团
2025-02-05,9.810,9.720,9.850,9.590,12205701.000,hk00960,龙湖集团
2025-02-06,9.730,9.800,9.880,9.650,11628044.000,hk00960,龙湖集团
2025-02-07,9.860,9.990,10.180,9.770,19639641.000,hk00960,龙湖集团
2025-02-10,10.020,10.020,10.120,9.890,13329882.000,hk00960,龙湖集团
2025-02-11,10.040,9.720,10.080,9.710,12685842.000,hk00960,龙湖集团
2025-02-12,9.760,10.500,10.840,9.720,58920306.000,hk00960,龙湖集团
2025-02-13,10.480,10.240,10.640,10.180,41861516.000,hk00960,龙湖集团
2025-02-14,10.280,10.380,10.420,10.140,15165389.000,hk00960,龙湖集团
2025-02-17,10.440,10.240,10.580,10.120,20028812.000,hk00960,龙湖集团
2025-02-18,10.280,10.120,10.340,9.940,17554930.000,hk00960,龙湖集团
2025-02-19,9.980,10.200,10.340,9.930,10737196.000,hk00960,龙湖集团
2025-02-20,10.040,9.980,10.160,9.960,10035567.000,hk00960,龙湖集团
2025-02-21,10.120,10.060,10.120,9.820,29113733.000,hk00960,龙湖集团
2025-02-24,9.920,10.400,10.500,9.730,47188261.000,hk00960,龙湖集团
2025-02-25,10.320,10.120,10.360,10.060,24883864.000,hk00960,龙湖集团
2025-02-26,10.220,11.200,11.400,10.220,77607259.000,hk00960,龙湖集团
2025-02-27,11.200,11.700,11.760,11.180,59372123.000,hk00960,龙湖集团
2025-02-28,11.540,10.660,11.540,10.420,89482360.000,hk00960,龙湖集团
2025-03-03,10.740,10.960,11.300,10.740,39210065.000,hk00960,龙湖集团
2025-03-04,10.820,10.840,10.940,10.720,17993356.000,hk00960,龙湖集团
2025-03-05,11.020,10.840,11.160,10.660,27572100.000,hk00960,龙湖集团
2025-03-06,11.000,11.300,11.680,10.800,53188680.000,hk00960,龙湖集团
2025-03-07,11.260,10.920,11.280,10.820,29744227.000,hk00960,龙湖集团
2025-03-10,10.800,10.860,11.080,10.660,33762938.000,hk00960,龙湖集团
2025-03-11,10.620,10.840,10.860,10.380,34298179.000,hk00960,龙湖集团
2025-03-12,10.820,10.680,10.860,10.580,35902243.000,hk00960,龙湖集团
2025-03-13,10.660,10.640,10.780,10.440,21099600.000,hk00960,龙湖集团
2025-03-14,10.680,10.900,11.240,10.640,46321080.000,hk00960,龙湖集团
2025-03-17,11.080,10.940,11.300,10.860,33254129.000,hk00960,龙湖集团
2025-03-18,11.100,11.020,11.140,10.900,25648271.000,hk00960,龙湖集团
2025-03-19,11.020,10.960,11.020,10.800,16950404.000,hk00960,龙湖集团
2025-03-20,10.900,10.700,10.940,10.700,26945913.000,hk00960,龙湖集团
2025-03-21,10.640,10.440,10.700,10.300,32420876.000,hk00960,龙湖集团
2025-03-24,10.500,10.220,10.500,10.120,19124600.000,hk00960,龙湖集团
2025-03-25,10.120,10.160,10.380,10.040,14952517.000,hk00960,龙湖集团
2025-03-26,10.280,10.220,10.460,10.100,10523500.000,hk00960,龙湖集团
2025-03-27,10.240,10.280,10.380,10.180,10973264.000,hk00960,龙湖集团
2025-03-28,10.320,10.340,10.340,10.140,11385845.000,hk00960,龙湖集团
2025-03-31,10.200,9.810,10.220,9.720,42839616.000,hk00960,龙湖集团
2025-04-01,9.850,9.830,9.930,9.760,21102390.000,hk00960,龙湖集团
2025-04-02,9.830,10.000,10.020,9.780,17168204.000,hk00960,龙湖集团
2025-04-03,9.740,10.160,10.280,9.710,31065088.000,hk00960,龙湖集团
2025-04-07,9.400,9.190,9.640,9.120,74394354.000,hk00960,龙湖集团
2025-04-08,9.050,9.280,9.430,9.050,41309406.000,hk00960,龙湖集团
2025-04-09,9.010,9.820,9.970,8.870,79493596.000,hk00960,龙湖集团
2025-04-10,9.800,10.180,10.280,9.530,59702365.000,hk00960,龙湖集团
2025-04-11,10.200,10.060,10.300,9.940,30161586.000,hk00960,龙湖集团
